"date","Ws_hourly_avg","co","pm10","T_met","visib_met","press_met"
2003-02-07 16:00:00,13,0,104,27.2222222222222,7,0
2003-02-08 00:00:00,7.5,0,111,32.7777777777778,7,0
2003-02-08 08:00:00,9.3,0,159,32.7777777777778,7,0
2003-02-08 16:00:00,13.2,0,98,27.7777777777778,7,0
2003-02-09 00:00:00,5.7,0,130,32.2222222222222,7,0
2003-02-09 08:00:00,11.4,0,109,32.7777777777778,7,0
2003-02-09 16:00:00,14,0,97,26.1111111111111,7,0
2003-02-10 00:00:00,3.9,0,91,32.7777777777778,7,0
2003-02-10 08:00:00,13.2,0,115,32.7777777777778,7,0
2003-02-10 16:00:00,12.5,0,109,26.1111111111111,7,0
2003-02-11 00:00:00,5.6,0,112,32.7777777777778,7,0
2003-02-11 08:00:00,9.6,0,131,32.2222222222222,7,0
2003-02-11 16:00:00,10.3,0,92,27.2222222222222,7,0
2003-02-12 00:00:00,9.5,0,69,32.7777777777778,7,0
2003-02-12 08:00:00,8.7,0,72,32.2222222222222,7,0
2003-02-12 16:00:00,12.1,0,79,27.2222222222222,7,0
2003-02-13 00:00:00,5.1,0,86,32.7777777777778,7,0
2003-02-13 08:00:00,12.2,0,86,30,7,0
2003-02-13 16:00:00,15.4,0,110,26.1111111111111,7,0
2003-02-14 00:00:00,6,0,79,32.2222222222222,7,0
2003-02-14 08:00:00,13.1,0,94,32.2222222222222,7,0
2003-02-14 16:00:00,12.7,0,108,27.7777777777778,7,0
2003-02-15 00:00:00,6.6,0,99,32.2222222222222,7,0
2003-02-15 08:00:00,9,0,109,27.2222222222222,7,0
2003-02-15 16:00:00,11,0,137,23.8888888888889,7,0
2003-02-16 00:00:00,3.7,0,112,32.2222222222222,7,0
2003-02-16 08:00:00,11.1,0,80,32.2222222222222,7,0
2003-02-16 16:00:00,13.3,0,67,25,7,0
2003-02-17 00:00:00,6.5,0,69,31.1111111111111,7,0
2003-02-17 08:00:00,11.4,0,122,30,7,0
2003-02-17 16:00:00,11.8,0,122,25,7,0
2003-02-18 00:00:00,5.8,0,111,32.2222222222222,7,0
2003-02-18 08:00:00,12.4,0,121,32.2222222222222,7,0
2003-02-18 16:00:00,13.3,0,101,27.7777777777778,7,0
2003-02-19 00:00:00,5.3,0,126,32.2222222222222,7,0
2003-02-19 08:00:00,10.3,0,135,31.1111111111111,7,0
2003-02-19 16:00:00,9.3,0,99,27.7777777777778,7,0
2003-02-20 00:00:00,7.2,0,117,31.1111111111111,7,0
2003-02-20 08:00:00,9.5,0,91,31.1111111111111,7,0
2003-02-20 16:00:00,10.3,0,121,27.7777777777778,7,0
2003-02-21 00:00:00,7.8,0,104,32.2222222222222,7,0
2003-02-21 08:00:00,8,0,83,32.2222222222222,7,0
2003-02-21 16:00:00,10.7,0,90,27.7777777777778,7,0
2003-02-22 00:00:00,5.2,0,142,32.2222222222222,7,0
2003-02-22 08:00:00,12.3,0,106,31.1111111111111,7,0
2003-02-22 16:00:00,10.4,0,53,27.2222222222222,7,0
2003-02-23 00:00:00,4.4,0,106,32.2222222222222,7,0
2003-02-23 08:00:00,9.7,0,90,32.2222222222222,7,0
2003-02-23 16:00:00,9.5,0,86,25,7,0
2003-02-24 00:00:00,8.3,0,103,30,7,0
2003-02-24 08:00:00,8.2,0,125,31.1111111111111,7,0
2003-02-24 16:00:00,9,0,124,28.8888888888889,7,0
2003-02-25 00:00:00,5.3,0,99,31.1111111111111,7,0
2003-02-25 08:00:00,10.6,0,119,31.1111111111111,7,0
2003-02-25 16:00:00,9.8,0,126,28.8888888888889,7,0
2003-02-26 00:00:00,6.4,0,95,31.1111111111111,7,0
2003-02-26 08:00:00,11.1,0,133,32.2222222222222,7,0
2003-02-26 16:00:00,9.5,0,107,27.2222222222222,7,0
2003-02-27 00:00:00,6,0,115,32.7777777777778,7,0
2003-02-27 08:00:00,7.9,0,107,32.2222222222222,7,0
2003-02-27 16:00:00,9.5,0,362,27.2222222222222,7,0
2003-02-28 00:00:00,5.9,0,140,32.2222222222222,7,0
2003-02-28 08:00:00,10,0,87,32.7777777777778,7,0
2003-02-28 16:00:00,12.9,0,134,27.7777777777778,7,0
2003-03-01 00:00:00,7,0.9,151,32.7777777777778,7,0
2003-03-01 08:00:00,12.1,0.59,144,32.2222222222222,5.6,0
2003-03-01 16:00:00,14.4,0.43,123,28.8888888888889,4.4,0
2003-03-02 00:00:00,10.3,0.39,112,32.2222222222222,5.6,0
2003-03-02 08:00:00,8.4,0.47,121,32.2222222222222,7,0
2003-03-02 16:00:00,14.9,0.76,109,27.7777777777778,5,0
2003-03-03 00:00:00,4.8,0.84,101,31.1111111111111,5.6,0
2003-03-03 08:00:00,9.6,1.99,151,31.1111111111111,7,0
2003-03-03 16:00:00,9.2,0,126,27.2222222222222,5,0
2003-03-04 00:00:00,5.4,0,122,32.2222222222222,7,0
2003-03-04 08:00:00,8.9,0,133,32.2222222222222,7,0
2003-03-04 16:00:00,9.9,0,91,28.8888888888889,7,0
2003-03-05 00:00:00,4.5,0,109,32.2222222222222,7,0
2003-03-05 08:00:00,16.4,0,146,32.2222222222222,7,0
2003-03-05 16:00:00,15.1,0.86,102,28.8888888888889,7,0
2003-03-06 00:00:00,8,0.59,92,32.2222222222222,7,0
2003-03-06 08:00:00,11.5,1.52,143,32.2222222222222,7,0
2003-03-06 16:00:00,10.1,0.65,101,28.8888888888889,7,0
2003-03-07 00:00:00,9.2,0.51,86,32.2222222222222,7,0
2003-03-07 08:00:00,9.4,1.19,110,32.2222222222222,7,0
2003-03-07 16:00:00,9.9,1.01,122,25,7,0
2003-03-08 00:00:00,6.2,0.49,82,32.2222222222222,7,0
2003-03-08 08:00:00,11.3,1,128,30,7,0
2003-03-08 16:00:00,10.6,0.88,87,26.1111111111111,7,0
2003-03-09 00:00:00,6.6,0.44,95,32.2222222222222,7,0
2003-03-09 08:00:00,11,0.56,85,31.1111111111111,7,0
2003-03-09 16:00:00,12.3,1.29,111,26.1111111111111,7,0
2003-03-10 00:00:00,6.3,1.53,93,35,7,0
2003-03-10 08:00:00,10.7,0.65,110,33.8888888888889,7,0
2003-03-10 16:00:00,15,0.93,156,27.2222222222222,7,0
2003-03-11 00:00:00,4.6,1.25,157,32.7777777777778,7,0
2003-03-11 08:00:00,11.7,1.1,99,32.7777777777778,7,0
2003-03-11 16:00:00,12.9,0.91,112,26.1111111111111,7,0
2003-03-12 00:00:00,5.6,0.89,126,32.7777777777778,7,0
2003-03-12 08:00:00,10.2,1.12,87,32.2222222222222,7,0
2003-03-12 16:00:00,13.5,1.22,120,27.7777777777778,7,0
2003-03-13 00:00:00,5.5,0.88,109,32.2222222222222,7,0
2003-03-13 08:00:00,7.8,1.42,119,33.8888888888889,7,0
2003-03-13 16:00:00,9.9,0.83,95,27.7777777777778,5,0
2003-03-14 00:00:00,5.5,0.68,162,32.7777777777778,7,0
2003-03-14 08:00:00,14.2,1.35,108,32.2222222222222,7,0
2003-03-14 16:00:00,11.9,0.51,103,27.7777777777778,7,0
2003-03-15 00:00:00,6.9,0.3,158,31.1111111111111,7,0
2003-03-15 08:00:00,8.6,1.17,205,32.7777777777778,7,0
2003-03-15 16:00:00,12.3,0.47,103,27.7777777777778,7,0
2003-03-16 00:00:00,6.6,0.78,110,32.7777777777778,7,0
2003-03-16 08:00:00,10.1,1.05,123,38.8888888888889,7,0
2003-03-16 16:00:00,13.2,0.55,88,27.7777777777778,7,0
2003-03-17 00:00:00,6.8,0.67,70,32.2222222222222,7,0
2003-03-17 08:00:00,9.2,1.69,125,32.2222222222222,7,0
2003-03-17 16:00:00,13.2,0.67,94,27.7777777777778,7,0
2003-03-18 00:00:00,5.3,0.91,116,32.2222222222222,7,0
2003-03-18 08:00:00,12.3,1.16,165,30,7,0
2003-03-18 16:00:00,12,1.39,126,26.1111111111111,7,0
2003-03-19 00:00:00,4.7,0.5,38,32.2222222222222,7,0
2003-03-19 08:00:00,11,0.93,109,32.2222222222222,7,0
2003-03-19 16:00:00,11,0.54,107,25,7,0
2003-03-20 00:00:00,5.5,0.6,114,32.7777777777778,7,0
2003-03-20 08:00:00,13,1.15,94,32.7777777777778,7,0
2003-03-20 16:00:00,12.8,0.6,142,23.8888888888889,5,0
