,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0100,2.4   ,18    ,23.7  ,N/A  ,0.003   ,0.021   ,0.000   ,2.86    ,53      ,39    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0200,4.2   ,27    ,23.4  ,N/A  ,0.002   ,0.017   ,0.000   ,2.05    ,57      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0300,3.4   ,23    ,22.4  ,N/A  ,0.002   ,0.013   ,0.000   ,1.34    ,47      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0400,3.4   ,6     ,21.3  ,N/A  ,0.003   ,0.011   ,0.000   ,1.05    ,50      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0500,3.2   ,356   ,21.0  ,N/A  ,0.003   ,0.010   ,0.000   ,1.09    ,62      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0600,2.6   ,11    ,21.0  ,N/A  ,0.003   ,0.009   ,0.000   ,0.88    ,46      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0700,2.8   ,356   ,20.7  ,N/A  ,0.002   ,0.009   ,0.000   ,0.78    ,57      ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0800,2.6   ,341   ,21.7  ,N/A  ,0.002   ,0.010   ,0.000   ,0.84    ,34      ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,0900,3.4   ,5     ,22.0  ,N/A  ,0.002   ,0.010   ,0.001   ,0.92    ,49      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1000,5.0   ,17    ,24.8  ,N/A  ,0.002   ,0.007   ,0.003   ,0.77    ,37      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1100,4.6   ,12    ,32.2  ,N/A  ,0.001   ,0.007   ,0.011   ,0.57    ,27      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1200,4.8   ,21    ,33.2  ,N/A  ,0.001   ,0.006   ,0.026   ,0.45    ,29      ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1300,6.6   ,352   ,33.2  ,N/A  ,0.001   ,0.007   ,0.035   ,0.43    ,24      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1400,7.6   ,310   ,31.6  ,N/A  ,0.001   ,0.009   ,0.032   ,0.46    ,22      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1500,7.4   ,247   ,31.2  ,N/A  ,0.001   ,0.005   ,0.030   ,0.27    ,24      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1600,11.2  ,204   ,28.6  ,N/A  ,0.001   ,0.010   ,0.030   ,0.36    ,44      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1700,6.0   ,3     ,27.6  ,N/A  ,0.001   ,0.017   ,0.018   ,0.69    ,35      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1800,4.6   ,17    ,27.3  ,N/A  ,0.001   ,0.022   ,0.011   ,1.03    ,31      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,1900,9.2   ,56    ,26.8  ,N/A  ,0.001   ,0.025   ,0.006   ,1.16    ,50      ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,2000,8.8   ,12    ,24.6  ,N/A  ,0.001   ,0.015   ,0.009   ,0.75    ,28      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,2100,4.2   ,338   ,24.0  ,N/A  ,0.001   ,0.019   ,0.004   ,0.91    ,28      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,2200,4.6   ,11    ,24.0  ,N/A  ,0.001   ,0.020   ,0.002   ,1.07    ,33      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,2300,2.0   ,297   ,24.1  ,N/A  ,0.001   ,0.018   ,0.001   ,0.72    ,41      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110101,2400,4.0   ,348   ,24.6  ,N/A  ,0.001   ,0.020   ,0.001   ,1.06    ,26      ,39    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20110102,0100,4.8   ,354   ,24.7  ,N/A  ,0.001   ,0.017   ,0.001   ,0.74    ,40      ,38    
