Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0100,5.1   ,78    ,26.4  ,84   ,0.002   ,CAL     ,0.013   ,0.34    ,15      ,20    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0200,4.3   ,85    ,26.1  ,84   ,0.001   ,N/A     ,CAL     ,0.29    ,10      ,19    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0300,5.8   ,89    ,26.1  ,82   ,0.001   ,N/A     ,0.012   ,0.30    ,7       ,18    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0400,3.8   ,100   ,25.8  ,84   ,0.002   ,N/A     ,0.010   ,0.37    ,12      ,18    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0500,3.5   ,90    ,25.9  ,85   ,0.002   ,N/A     ,0.008   ,0.39    ,N/A     ,19    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0600,4.4   ,76    ,25.8  ,86   ,0.001   ,N/A     ,0.012   ,0.26    ,7       ,18    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0700,5.2   ,82    ,25.6  ,88   ,0.001   ,N/A     ,0.016   ,0.17    ,9       ,17    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0800,5.1   ,83    ,25.2  ,91   ,0.001   ,N/A     ,0.016   ,0.18    ,7       ,17    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,0900,6.6   ,75    ,24.8  ,93   ,0.001   ,N/A     ,0.016   ,0.18    ,N/A     ,16    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,1000,6.7   ,79    ,25.0  ,90   ,0.001   ,N/A     ,0.016   ,0.19    ,N/A     ,16    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20120101,1100,6.9   ,87    ,25.6  ,86   ,0.000   ,N/A     ,0.016   ,0.22    ,9       ,16    
