,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0100,3.0   ,93    ,25.7  ,N/A  ,0.003   ,0.018   ,0.000   ,N/A     ,66      ,11    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0200,3.5   ,87    ,25.4  ,N/A  ,0.003   ,0.015   ,0.000   ,N/A     ,47      ,9     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0300,2.8   ,39    ,25.1  ,N/A  ,0.003   ,0.013   ,0.000   ,N/A     ,44      ,8     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0400,4.2   ,58    ,24.8  ,N/A  ,0.003   ,0.009   ,0.001   ,N/A     ,44      ,5     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0500,3.0   ,38    ,24.6  ,N/A  ,0.003   ,0.008   ,0.000   ,N/A     ,58      ,5     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0600,4.1   ,48    ,24.3  ,N/A  ,0.003   ,0.006   ,0.000   ,N/A     ,57      ,4     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0700,3.3   ,67    ,24.1  ,N/A  ,0.003   ,0.006   ,0.000   ,N/A     ,50      ,4     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0800,2.1   ,13    ,24.2  ,N/A  ,0.003   ,0.010   ,0.000   ,N/A     ,67      ,6     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,0900,4.1   ,45    ,24.8  ,N/A  ,0.003   ,0.009   ,0.001   ,N/A     ,55      ,5     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,1000,6.1   ,57    ,26.1  ,N/A  ,0.004   ,0.007   ,0.008   ,N/A     ,41      ,8     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,1100,5.3   ,51    ,28.0  ,N/A  ,CAL     ,0.007   ,0.017   ,N/A     ,30      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,1200,4.2   ,11    ,29.4  ,N/A  ,0.005   ,0.006   ,0.032   ,N/A     ,36      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,1300,5.1   ,71    ,30.4  ,N/A  ,0.020   ,0.009   ,0.038   ,N/A     ,47      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19960901,1400,9.6   ,277   ,31.2  ,N/A  ,0.027   ,0.010   ,0.037   ,N/A     ,83      ,37    
