,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0100,4.6   ,12    ,25.1  ,N/A  ,0.012   ,N/A     ,0.008   ,0.88    ,68      ,8     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0200,6.4   ,5     ,24.8  ,N/A  ,0.009   ,N/A     ,0.008   ,0.50    ,26      ,8     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0300,5.6   ,21    ,24.2  ,N/A  ,0.005   ,N/A     ,0.009   ,CAL     ,14      ,9     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0400,5.5   ,359   ,23.7  ,N/A  ,CAL     ,N/A     ,0.009   ,0.37    ,17      ,9     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0500,5.5   ,352   ,23.6  ,N/A  ,0.020   ,CAL     ,0.014   ,0.24    ,27      ,14    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0600,6.3   ,5     ,23.7  ,N/A  ,0.015   ,N/A     ,CAL     ,0.21    ,19      ,6     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0700,7.1   ,15    ,23.0  ,N/A  ,0.003   ,N/A     ,0.014   ,0.17    ,17      ,14    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0800,5.7   ,11    ,22.4  ,N/A  ,0.008   ,N/A     ,0.007   ,0.31    ,18      ,7     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,0900,6.9   ,24    ,23.2  ,N/A  ,0.004   ,N/A     ,0.009   ,0.42    ,33      ,9     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1000,12.3  ,25    ,24.9  ,N/A  ,0.002   ,N/A     ,0.022   ,0.16    ,36      ,22    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1100,13.1  ,32    ,27.2  ,N/A  ,0.001   ,N/A     ,0.027   ,0.11    ,40      ,27    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1200,12.0  ,38    ,29.2  ,N/A  ,0.001   ,N/A     ,0.030   ,0.07    ,41      ,30    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1300,12.4  ,27    ,30.7  ,N/A  ,0.001   ,N/A     ,0.034   ,0.03    ,8       ,34    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1400,16.4  ,340   ,30.4  ,N/A  ,0.017   ,N/A     ,0.040   ,0.02    ,45      ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1500,19.0  ,315   ,30.2  ,N/A  ,0.013   ,N/A     ,0.041   ,0.04    ,29      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1600,20.1  ,317   ,30.7  ,N/A  ,0.005   ,N/A     ,0.038   ,0.06    ,21      ,38    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1700,21.5  ,318   ,30.9  ,N/A  ,0.007   ,N/A     ,0.058   ,0.08    ,40      ,58    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1800,20.2  ,314   ,30.8  ,N/A  ,0.017   ,N/A     ,0.031   ,0.07    ,38      ,31    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,1900,14.5  ,332   ,30.7  ,N/A  ,0.018   ,N/A     ,0.028   ,0.12    ,23      ,28    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,2000,10.5  ,352   ,29.8  ,N/A  ,0.009   ,N/A     ,0.023   ,0.33    ,51      ,25    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,2100,9.6   ,1     ,28.5  ,N/A  ,0.007   ,N/A     ,0.017   ,0.45    ,36      ,24    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,2200,11.6  ,6     ,27.5  ,N/A  ,0.005   ,N/A     ,0.017   ,0.37    ,33      ,24    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,2300,10.2  ,0     ,26.4  ,N/A  ,0.006   ,N/A     ,0.017   ,0.30    ,31      ,24    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970101,2400,10.4  ,11    ,25.5  ,N/A  ,0.002   ,N/A     ,0.020   ,0.21    ,15      ,21    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0100,7.9   ,350   ,24.7  ,N/A  ,0.005   ,N/A     ,0.022   ,0.16    ,8       ,22    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0200,9.7   ,342   ,24.2  ,N/A  ,0.004   ,N/A     ,0.024   ,CAL     ,26      ,24    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0300,9.8   ,4     ,23.6  ,N/A  ,CAL     ,N/A     ,0.026   ,0.11    ,16      ,26    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0400,11.8  ,10    ,23.4  ,N/A  ,0.002   ,CAL     ,0.027   ,0.10    ,9       ,27    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0500,8.8   ,354   ,23.3  ,N/A  ,0.007   ,N/A     ,CAL     ,0.09    ,17      ,18    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0600,9.3   ,349   ,23.1  ,N/A  ,0.012   ,N/A     ,0.025   ,0.09    ,N/A     ,25    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0700,7.7   ,357   ,22.8  ,N/A  ,0.012   ,N/A     ,0.021   ,0.11    ,12      ,21    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0800,9.4   ,344   ,22.7  ,N/A  ,0.013   ,N/A     ,0.012   ,0.40    ,45      ,19    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,0900,10.2  ,353   ,23.6  ,N/A  ,0.021   ,N/A     ,0.014   ,0.56    ,38      ,21    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1000,11.5  ,10    ,25.7  ,N/A  ,0.007   ,N/A     ,0.023   ,0.26    ,29      ,23    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1100,15.8  ,12    ,27.7  ,N/A  ,0.004   ,N/A     ,0.029   ,0.15    ,24      ,29    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1200,15.5  ,26    ,29.0  ,N/A  ,0.002   ,N/A     ,0.033   ,0.14    ,36      ,33    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1300,15.4  ,31    ,30.1  ,N/A  ,0.002   ,N/A     ,0.034   ,0.17    ,46      ,34    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1400,15.2  ,35    ,31.0  ,N/A  ,0.002   ,N/A     ,0.035   ,0.16    ,51      ,35    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1500,13.8  ,20    ,31.7  ,N/A  ,0.002   ,N/A     ,0.039   ,0.12    ,21      ,39    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1600,13.9  ,347   ,31.8  ,N/A  ,0.005   ,N/A     ,0.045   ,0.12    ,36      ,45    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19970102,1700,13.4  ,339   ,32.0  ,N/A  ,0.013   ,N/A     ,0.063   ,0.13    ,26      ,63    
