Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0100,3.1   ,7     ,25.6  ,85   ,0.001   ,0.012   ,0.003   ,0.80    ,44      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0200,2.3   ,64    ,25.1  ,87   ,CAL     ,0.011   ,0.003   ,0.83    ,41      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0300,3.6   ,49    ,24.8  ,89   ,0.002   ,0.010   ,0.003   ,CAL     ,29      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0400,2.8   ,65    ,24.5  ,91   ,0.001   ,CAL     ,0.003   ,0.57    ,27      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0500,2.6   ,21    ,24.7  ,91   ,0.001   ,0.008   ,CAL     ,0.49    ,24      ,32    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0600,2.5   ,38    ,24.9  ,90   ,0.000   ,0.008   ,0.004   ,0.48    ,24      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0700,2.8   ,61    ,24.7  ,91   ,0.000   ,0.008   ,0.003   ,0.48    ,29      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0800,2.3   ,74    ,24.6  ,92   ,0.000   ,0.007   ,0.003   ,0.53    ,36      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,0900,3.2   ,50    ,25.0  ,92   ,0.001   ,0.007   ,0.004   ,0.56    ,32      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1000,4.1   ,49    ,25.1  ,93   ,0.000   ,0.006   ,0.005   ,0.52    ,29      ,30    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1100,5.2   ,58    ,26.3  ,87   ,0.000   ,0.007   ,0.007   ,0.50    ,24      ,30    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1200,4.8   ,56    ,28.1  ,80   ,0.000   ,0.007   ,0.011   ,0.38    ,23      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1300,4.1   ,359   ,30.0  ,73   ,0.000   ,0.005   ,0.014   ,0.29    ,20      ,30    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1400,4.1   ,357   ,31.2  ,69   ,0.000   ,0.006   ,0.017   ,0.24    ,17      ,29    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1500,3.5   ,125   ,31.5  ,67   ,0.000   ,0.006   ,0.022   ,0.18    ,27      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1600,4.4   ,281   ,30.6  ,66   ,0.003   ,0.008   ,0.024   ,0.25    ,29      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1700,5.8   ,307   ,29.7  ,67   ,0.003   ,0.010   ,0.021   ,0.36    ,34      ,29    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1800,7.1   ,310   ,28.6  ,78   ,0.000   ,0.008   ,0.023   ,0.32    ,24      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,1900,2.9   ,357   ,27.3  ,81   ,0.002   ,0.010   ,0.016   ,0.50    ,28      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,2000,2.9   ,123   ,26.5  ,84   ,0.001   ,0.017   ,0.008   ,0.65    ,32      ,29    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,2100,4.4   ,127   ,26.6  ,82   ,0.000   ,0.017   ,0.006   ,0.66    ,24      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,2200,3.4   ,135   ,26.3  ,85   ,0.000   ,0.020   ,0.005   ,0.82    ,41      ,29    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,2300,5.1   ,126   ,26.2  ,87   ,0.001   ,0.021   ,0.004   ,1.09    ,56      ,30    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120101,2400,5.8   ,116   ,25.9  ,89   ,0.001   ,0.017   ,0.006   ,0.78    ,51      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0100,2.4   ,31    ,25.2  ,91   ,CAL     ,0.018   ,0.004   ,0.92    ,57      ,32    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0200,2.5   ,58    ,24.3  ,93   ,0.003   ,0.011   ,0.003   ,CAL     ,34      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0300,1.7   ,73    ,23.8  ,95   ,0.001   ,CAL     ,0.003   ,0.44    ,37      ,32    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0400,1.6   ,91    ,23.6  ,96   ,0.001   ,0.007   ,CAL     ,0.41    ,39      ,32    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0500,2.0   ,83    ,23.7  ,97   ,0.001   ,0.007   ,0.003   ,0.51    ,44      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0600,1.9   ,70    ,24.0  ,95   ,0.001   ,0.007   ,0.002   ,0.45    ,42      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0700,2.6   ,49    ,23.8  ,95   ,0.001   ,0.006   ,0.003   ,0.56    ,43      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0800,2.5   ,60    ,23.8  ,95   ,0.001   ,0.005   ,0.002   ,0.64    ,47      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,0900,2.4   ,28    ,25.4  ,90   ,0.002   ,0.005   ,0.003   ,0.70    ,39      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1000,3.7   ,67    ,31.6  ,69   ,0.001   ,0.006   ,0.011   ,0.42    ,34      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1100,4.6   ,72    ,33.4  ,63   ,0.000   ,0.004   ,0.021   ,0.24    ,27      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1200,3.9   ,238   ,31.2  ,68   ,0.001   ,0.005   ,0.027   ,0.22    ,29      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1300,4.0   ,244   ,33.3  ,60   ,0.001   ,0.007   ,0.037   ,0.27    ,45      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1400,9.2   ,209   ,35.3  ,49   ,0.001   ,0.003   ,0.033   ,0.13    ,24      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1500,10.2  ,210   ,34.0  ,49   ,0.001   ,0.003   ,0.031   ,0.14    ,26      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1600,10.5  ,216   ,34.7  ,47   ,0.001   ,0.003   ,0.028   ,0.14    ,23      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1700,9.7   ,198   ,34.1  ,48   ,0.001   ,0.003   ,0.028   ,0.15    ,22      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1800,9.2   ,198   ,32.2  ,59   ,0.001   ,0.004   ,0.035   ,0.23    ,36      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,1900,9.7   ,199   ,29.8  ,70   ,0.001   ,0.005   ,0.034   ,0.26    ,34      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,2000,7.7   ,205   ,28.5  ,75   ,0.000   ,0.007   ,0.021   ,0.28    ,24      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,2100,5.1   ,187   ,27.7  ,78   ,0.000   ,0.009   ,0.014   ,0.36    ,28      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,2200,3.8   ,196   ,27.4  ,80   ,0.001   ,0.011   ,0.012   ,0.46    ,21      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,2300,2.9   ,124   ,26.7  ,83   ,0.001   ,0.013   ,0.007   ,0.80    ,58      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120102,2400,2.6   ,62    ,26.0  ,88   ,CAL     ,0.014   ,0.003   ,1.14    ,51      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0100,3.0   ,72    ,26.5  ,88   ,0.003   ,0.013   ,0.004   ,CAL     ,55      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0200,3.4   ,79    ,25.9  ,91   ,0.001   ,CAL     ,0.003   ,0.65    ,49      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0300,3.4   ,70    ,25.1  ,93   ,0.000   ,0.009   ,CAL     ,0.46    ,37      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0400,2.7   ,68    ,24.7  ,95   ,0.001   ,0.008   ,0.007   ,0.41    ,45      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0500,1.7   ,87    ,24.6  ,96   ,0.001   ,0.009   ,0.005   ,0.42    ,46      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0600,2.4   ,67    ,24.6  ,94   ,0.001   ,0.009   ,0.005   ,0.44    ,45      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0700,2.2   ,59    ,24.2  ,94   ,0.001   ,0.009   ,0.003   ,0.72    ,42      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0800,2.7   ,58    ,23.9  ,95   ,0.003   ,0.008   ,0.003   ,1.24    ,49      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,0900,4.5   ,45    ,26.6  ,85   ,0.001   ,0.007   ,0.004   ,0.95    ,36      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1000,3.7   ,20    ,30.8  ,72   ,0.001   ,0.007   ,0.006   ,0.59    ,32      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1100,5.0   ,55    ,33.5  ,61   ,0.000   ,0.007   ,0.015   ,0.36    ,33      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1200,5.0   ,46    ,35.8  ,54   ,0.000   ,0.008   ,0.024   ,0.31    ,36      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1300,6.1   ,318   ,33.2  ,58   ,0.000   ,0.009   ,0.029   ,0.33    ,36      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1400,9.9   ,297   ,32.7  ,60   ,0.001   ,0.008   ,0.033   ,0.33    ,32      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1500,7.6   ,292   ,33.7  ,54   ,0.002   ,0.008   ,0.039   ,0.28    ,40      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1600,10.2  ,208   ,34.7  ,50   ,0.002   ,0.005   ,0.050   ,0.19    ,39      ,50    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1700,9.9   ,201   ,34.0  ,52   ,0.001   ,0.005   ,0.047   ,0.20    ,38      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1800,8.2   ,201   ,33.1  ,57   ,0.002   ,0.006   ,0.041   ,0.25    ,42      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,1900,4.7   ,278   ,31.3  ,64   ,0.001   ,0.010   ,0.028   ,0.42    ,41      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,2000,4.6   ,340   ,29.5  ,72   ,0.002   ,0.015   ,0.019   ,0.54    ,45      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,2100,4.6   ,34    ,28.5  ,76   ,0.001   ,0.015   ,0.013   ,0.63    ,45      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,2200,4.5   ,58    ,26.5  ,82   ,0.001   ,0.016   ,0.007   ,0.67    ,48      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,2300,3.8   ,58    ,26.2  ,85   ,CAL     ,0.015   ,0.006   ,0.69    ,42      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120103,2400,3.4   ,52    ,25.6  ,86   ,0.003   ,0.013   ,0.005   ,CAL     ,47      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20120104,0100,3.3   ,59    ,25.1  ,87   ,0.001   ,CAL     ,0.005   ,0.45    ,44      ,41    
