Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0100,4.2   ,344   ,24.7  ,N/A  ,0.006   ,0.018   ,N/A     ,1.69    ,106     ,59    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0200,4.7   ,30    ,24.3  ,N/A  ,0.005   ,0.017   ,N/A     ,1.84    ,92      ,60    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0300,6.5   ,50    ,23.7  ,N/A  ,0.003   ,0.015   ,N/A     ,1.40    ,92      ,61    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0400,6.1   ,50    ,23.1  ,N/A  ,0.003   ,0.012   ,N/A     ,1.02    ,84      ,61    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0500,6.3   ,49    ,22.6  ,N/A  ,0.003   ,0.009   ,N/A     ,0.88    ,75      ,61    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0600,6.8   ,52    ,22.2  ,N/A  ,0.003   ,0.007   ,N/A     ,0.60    ,71      ,62    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0700,5.8   ,50    ,21.9  ,N/A  ,0.002   ,0.008   ,N/A     ,0.75    ,73      ,62    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0800,7.3   ,53    ,21.9  ,N/A  ,0.003   ,0.009   ,N/A     ,0.84    ,64      ,61    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,0900,7.6   ,52    ,24.2  ,N/A  ,0.003   ,0.008   ,N/A     ,0.69    ,40      ,61    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1000,8.9   ,44    ,27.4  ,N/A  ,0.002   ,0.009   ,N/A     ,0.69    ,52      ,60    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1100,10.3  ,47    ,31.1  ,N/A  ,0.001   ,0.008   ,N/A     ,0.61    ,34      ,59    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1200,10.7  ,35    ,34.1  ,N/A  ,0.001   ,0.007   ,N/A     ,0.54    ,23      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1300,10.9  ,25    ,35.5  ,N/A  ,0.002   ,0.007   ,N/A     ,0.48    ,37      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1400,14.7  ,291   ,35.1  ,N/A  ,0.002   ,0.007   ,N/A     ,0.47    ,48      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1500,18.8  ,282   ,33.3  ,N/A  ,CAL     ,0.008   ,N/A     ,0.52    ,70      ,59    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1600,19.1  ,277   ,33.3  ,N/A  ,0.002   ,0.007   ,N/A     ,0.53    ,41      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1700,21.6  ,269   ,32.8  ,N/A  ,0.002   ,0.006   ,N/A     ,CAL     ,50      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1800,18.6  ,277   ,32.4  ,N/A  ,CAL     ,0.008   ,N/A     ,0.70    ,51      ,59    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,1900,14.8  ,271   ,30.5  ,N/A  ,0.004   ,CAL     ,N/A     ,0.97    ,54      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,2000,8.3   ,258   ,29.1  ,N/A  ,0.005   ,0.018   ,CAL     ,1.45    ,79      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,2100,5.4   ,318   ,28.5  ,N/A  ,0.004   ,0.021   ,N/A     ,2.01    ,88      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,2200,5.6   ,38    ,27.9  ,N/A  ,0.004   ,0.019   ,N/A     ,1.81    ,89      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,2300,6.0   ,39    ,27.1  ,N/A  ,0.005   ,0.019   ,N/A     ,1.62    ,85      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020101,2400,4.9   ,348   ,25.6  ,N/A  ,0.003   ,0.017   ,N/A     ,1.23    ,89      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0100,6.1   ,329   ,24.9  ,N/A  ,0.002   ,0.012   ,N/A     ,0.78    ,64      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0200,4.4   ,336   ,23.9  ,N/A  ,0.003   ,0.014   ,N/A     ,0.65    ,57      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0300,6.8   ,309   ,23.8  ,N/A  ,0.004   ,0.005   ,N/A     ,0.34    ,63      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0400,6.6   ,320   ,24.1  ,N/A  ,0.002   ,0.003   ,N/A     ,0.29    ,62      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0500,6.3   ,11    ,24.0  ,N/A  ,0.002   ,0.004   ,N/A     ,0.26    ,55      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0600,5.3   ,357   ,23.1  ,N/A  ,0.002   ,0.008   ,N/A     ,0.38    ,62      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0700,6.1   ,28    ,23.1  ,N/A  ,0.003   ,0.013   ,N/A     ,0.69    ,79      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0800,5.3   ,10    ,22.7  ,N/A  ,0.006   ,0.016   ,N/A     ,1.48    ,77      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,0900,6.6   ,355   ,25.0  ,N/A  ,0.007   ,0.016   ,N/A     ,1.77    ,73      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1000,12.9  ,49    ,27.6  ,N/A  ,0.003   ,0.011   ,N/A     ,0.72    ,65      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1100,11.9  ,52    ,30.6  ,N/A  ,0.003   ,0.012   ,N/A     ,0.70    ,51      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1200,13.0  ,44    ,33.0  ,N/A  ,0.002   ,0.010   ,N/A     ,0.59    ,54      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1300,12.6  ,45    ,34.4  ,N/A  ,0.002   ,0.011   ,N/A     ,0.57    ,47      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1400,11.4  ,42    ,35.3  ,N/A  ,0.003   ,0.011   ,N/A     ,0.52    ,51      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1500,12.6  ,312   ,34.9  ,N/A  ,0.003   ,0.014   ,N/A     ,0.67    ,58      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1600,19.2  ,277   ,33.2  ,N/A  ,0.004   ,0.011   ,N/A     ,CAL     ,48      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1700,21.8  ,278   ,32.9  ,N/A  ,CAL     ,0.008   ,N/A     ,0.48    ,44      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1800,11.3  ,302   ,32.4  ,N/A  ,0.004   ,CAL     ,N/A     ,1.01    ,48      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,1900,7.4   ,347   ,31.5  ,N/A  ,0.005   ,0.024   ,CAL     ,1.63    ,70      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20020102,2000,7.6   ,314   ,28.8  ,N/A  ,0.006   ,0.024   ,N/A     ,1.91    ,146     ,59    
