,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0100,5.0   ,194   ,26.5  ,N/A  ,0.012   ,0.015   ,0.005   ,1.13    ,51      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0200,5.7   ,203   ,25.3  ,N/A  ,0.008   ,0.010   ,0.005   ,1.21    ,48      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0300,2.9   ,174   ,24.8  ,N/A  ,0.010   ,0.007   ,0.005   ,1.13    ,62      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0400,2.8   ,193   ,25.2  ,N/A  ,0.010   ,0.008   ,0.005   ,1.13    ,67      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0500,1.4   ,199   ,25.3  ,N/A  ,0.016   ,0.008   ,0.005   ,1.14    ,49      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0600,4.4   ,206   ,25.2  ,N/A  ,0.011   ,0.008   ,0.005   ,1.10    ,51      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0700,2.9   ,194   ,24.5  ,N/A  ,0.010   ,0.005   ,0.005   ,1.30    ,59      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0800,2.2   ,357   ,24.7  ,N/A  ,0.056   ,0.008   ,0.004   ,2.19    ,124     ,47    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,0900,4.1   ,215   ,25.6  ,N/A  ,0.045   ,0.011   ,0.005   ,1.78    ,112     ,50    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1000,4.9   ,181   ,26.8  ,N/A  ,0.047   ,0.016   ,0.011   ,1.22    ,92      ,54    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1100,4.2   ,103   ,27.9  ,N/A  ,0.084   ,0.022   ,N/A     ,1.10    ,95      ,62    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1200,9.4   ,28    ,30.2  ,N/A  ,0.029   ,0.006   ,N/A     ,0.69    ,42      ,65    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1300,13.6  ,25    ,30.8  ,N/A  ,0.015   ,0.002   ,0.032   ,0.68    ,36      ,65    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1400,14.3  ,27    ,31.0  ,N/A  ,0.013   ,0.002   ,0.031   ,0.68    ,19      ,66    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1500,15.2  ,17    ,31.1  ,N/A  ,0.010   ,0.001   ,0.029   ,0.70    ,38      ,66    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1600,16.9  ,13    ,29.8  ,N/A  ,0.029   ,0.002   ,0.024   ,0.70    ,31      ,61    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1700,12.2  ,9     ,28.3  ,N/A  ,0.074   ,0.008   ,0.017   ,0.68    ,47      ,67    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1800,13.7  ,17    ,28.9  ,N/A  ,0.034   ,0.003   ,0.022   ,0.63    ,22      ,69    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,1900,13.0  ,17    ,29.2  ,N/A  ,0.011   ,0.002   ,0.023   ,0.69    ,20      ,69    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,2000,6.0   ,82    ,28.3  ,N/A  ,0.019   ,0.004   ,0.026   ,0.69    ,36      ,70    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,2100,8.8   ,25    ,26.2  ,N/A  ,0.019   ,0.006   ,0.017   ,0.72    ,54      ,70    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,2200,7.3   ,338   ,25.3  ,N/A  ,0.018   ,0.005   ,0.016   ,0.63    ,39      ,68    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,2300,4.0   ,82    ,24.7  ,N/A  ,0.015   ,0.006   ,0.014   ,0.68    ,34      ,64    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980101,2400,5.1   ,276   ,24.8  ,N/A  ,0.021   ,0.018   ,0.005   ,1.28    ,47      ,64    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0100,3.0   ,258   ,24.4  ,N/A  ,0.023   ,0.015   ,0.007   ,0.93    ,35      ,65    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0200,2.7   ,222   ,24.4  ,N/A  ,0.015   ,0.012   ,0.006   ,0.89    ,14      ,66    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0300,5.4   ,201   ,24.4  ,N/A  ,0.007   ,0.009   ,0.006   ,0.84    ,22      ,66    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0400,5.3   ,196   ,24.3  ,N/A  ,0.009   ,0.004   ,0.007   ,0.67    ,43      ,66    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0500,6.1   ,218   ,24.0  ,N/A  ,0.009   ,0.001   ,0.009   ,0.68    ,38      ,65    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0600,5.3   ,218   ,23.8  ,N/A  ,0.007   ,0.000   ,0.010   ,0.66    ,59      ,64    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0700,4.2   ,219   ,23.7  ,N/A  ,0.007   ,0.005   ,0.007   ,0.82    ,41      ,64    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0800,3.8   ,193   ,23.5  ,N/A  ,0.007   ,0.007   ,0.006   ,0.99    ,49      ,59    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,0900,5.9   ,196   ,23.8  ,N/A  ,0.008   ,0.009   ,0.006   ,1.32    ,70      ,55    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1000,6.3   ,209   ,24.3  ,N/A  ,0.008   ,0.007   ,0.008   ,0.94    ,78      ,51    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1100,5.3   ,184   ,27.4  ,N/A  ,0.013   ,0.006   ,0.014   ,0.75    ,33      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1200,7.0   ,213   ,29.5  ,N/A  ,0.008   ,0.008   ,N/A     ,0.83    ,40      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1300,7.4   ,76    ,29.9  ,N/A  ,0.038   ,0.011   ,0.037   ,0.80    ,61      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1400,10.0  ,42    ,31.5  ,N/A  ,0.035   ,0.008   ,0.037   ,0.74    ,41      ,46    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1500,10.6  ,45    ,30.5  ,N/A  ,0.030   ,0.009   ,0.040   ,0.76    ,62      ,48    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1600,14.0  ,108   ,29.8  ,N/A  ,0.040   ,0.007   ,0.027   ,0.68    ,47      ,49    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1700,16.2  ,139   ,29.5  ,N/A  ,0.034   ,0.003   ,0.021   ,0.63    ,27      ,45    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1800,14.4  ,136   ,29.6  ,N/A  ,0.026   ,0.002   ,0.018   ,0.64    ,18      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,1900,7.4   ,245   ,27.1  ,N/A  ,0.049   ,0.015   ,0.007   ,1.56    ,50      ,48    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,2000,3.9   ,191   ,27.1  ,N/A  ,0.032   ,0.014   ,0.006   ,1.46    ,36      ,50    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19980102,2100,7.6   ,191   ,27.2  ,N/A  ,0.010   ,0.011   ,0.007   ,0.91    ,24      ,49    
