,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0100,2.9   ,29    ,25.1  ,N/A  ,0.012   ,0.025   ,0.002   ,1.88    ,85      ,15    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0200,4.2   ,13    ,24.8  ,N/A  ,0.012   ,0.017   ,0.002   ,1.19    ,46      ,10    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0300,3.7   ,23    ,24.2  ,N/A  ,0.012   ,0.015   ,0.003   ,CAL     ,11      ,9     
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0400,3.3   ,360   ,23.5  ,N/A  ,CAL     ,0.014   ,0.002   ,1.03    ,46      ,17    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0500,5.1   ,343   ,23.4  ,N/A  ,0.015   ,CAL     ,0.009   ,0.67    ,10      ,15    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0600,5.2   ,357   ,23.4  ,N/A  ,0.014   ,0.005   ,CAL     ,0.58    ,39      ,13    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0700,3.0   ,23    ,22.8  ,N/A  ,0.014   ,0.012   ,0.002   ,0.71    ,23      ,13    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0800,2.5   ,25    ,22.2  ,N/A  ,0.014   ,0.013   ,0.001   ,1.02    ,45      ,11    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,0900,4.8   ,42    ,22.9  ,N/A  ,0.014   ,0.013   ,0.004   ,1.05    ,58      ,10    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1000,7.2   ,45    ,25.1  ,N/A  ,0.012   ,0.009   ,0.013   ,0.71    ,26      ,13    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1100,11.2  ,51    ,27.1  ,N/A  ,0.011   ,0.007   ,0.019   ,0.55    ,41      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1200,11.0  ,55    ,29.1  ,N/A  ,0.009   ,0.008   ,0.020   ,0.49    ,28      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1300,10.4  ,14    ,31.2  ,N/A  ,0.009   ,0.006   ,0.024   ,0.27    ,21      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1400,13.2  ,342   ,31.7  ,N/A  ,0.010   ,0.005   ,0.031   ,0.24    ,24      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1500,15.9  ,312   ,31.4  ,N/A  ,0.010   ,0.006   ,0.031   ,0.31    ,39      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1600,16.1  ,310   ,31.8  ,N/A  ,0.010   ,0.006   ,0.026   ,0.38    ,19      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1700,16.9  ,311   ,32.4  ,N/A  ,0.011   ,0.007   ,0.024   ,0.41    ,40      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1800,11.9  ,330   ,32.7  ,N/A  ,0.011   ,0.010   ,0.021   ,0.67    ,25      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,1900,9.4   ,351   ,31.8  ,N/A  ,0.011   ,0.011   ,0.018   ,0.86    ,24      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,2000,9.4   ,359   ,29.6  ,N/A  ,0.011   ,0.014   ,0.013   ,1.19    ,66      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,2100,8.5   ,1     ,28.2  ,N/A  ,0.012   ,0.017   ,0.007   ,1.27    ,34      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,2200,7.8   ,4     ,27.5  ,N/A  ,0.012   ,0.022   ,0.002   ,1.37    ,53      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,2300,9.8   ,7     ,26.6  ,N/A  ,0.011   ,0.019   ,0.006   ,0.96    ,26      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970101,2400,7.0   ,11    ,25.5  ,N/A  ,0.011   ,0.016   ,0.006   ,0.76    ,38      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0100,6.5   ,4     ,24.7  ,N/A  ,0.011   ,0.012   ,0.010   ,0.64    ,39      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0200,8.0   ,356   ,23.9  ,N/A  ,0.011   ,0.003   ,0.019   ,CAL     ,43      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0300,7.8   ,8     ,23.6  ,N/A  ,CAL     ,0.002   ,0.020   ,0.42    ,10      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0400,8.4   ,14    ,23.4  ,N/A  ,0.016   ,CAL     ,0.020   ,0.31    ,20      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0500,7.8   ,7     ,23.3  ,N/A  ,0.014   ,0.002   ,CAL     ,0.32    ,37      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0600,7.9   ,0     ,22.9  ,N/A  ,0.014   ,0.001   ,0.020   ,0.34    ,16      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0700,6.8   ,2     ,22.6  ,N/A  ,0.016   ,0.010   ,0.013   ,0.55    ,40      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0800,7.4   ,360   ,22.4  ,N/A  ,0.015   ,0.013   ,0.009   ,0.90    ,27      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,0900,8.6   ,358   ,23.4  ,N/A  ,0.014   ,0.016   ,0.008   ,0.98    ,52      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1000,9.9   ,6     ,25.8  ,N/A  ,0.015   ,0.013   ,0.013   ,0.74    ,59      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1100,9.6   ,14    ,28.0  ,N/A  ,0.013   ,0.010   ,0.018   ,0.47    ,40      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1200,11.0  ,32    ,29.2  ,N/A  ,0.011   ,0.011   ,0.021   ,0.39    ,21      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1300,12.2  ,48    ,30.2  ,N/A  ,0.011   ,0.009   ,0.022   ,0.33    ,34      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1400,11.1  ,51    ,31.1  ,N/A  ,0.011   ,0.009   ,0.022   ,0.33    ,38      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1500,9.2   ,24    ,32.3  ,N/A  ,0.012   ,0.011   ,0.026   ,0.38    ,12      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1600,10.7  ,2     ,32.7  ,N/A  ,0.012   ,0.010   ,0.033   ,0.31    ,54      ,33    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1700,9.3   ,2     ,33.0  ,N/A  ,0.012   ,0.012   ,0.029   ,0.34    ,54      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1800,10.0  ,352   ,32.8  ,N/A  ,0.013   ,0.014   ,0.025   ,0.60    ,50      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,1900,8.5   ,352   ,31.5  ,N/A  ,0.013   ,0.017   ,0.017   ,0.93    ,30      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,2000,7.1   ,356   ,29.3  ,N/A  ,0.015   ,0.021   ,0.009   ,1.31    ,90      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,2100,7.2   ,356   ,27.9  ,N/A  ,0.016   ,0.020   ,0.007   ,1.60    ,80      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,2200,5.9   ,359   ,26.8  ,N/A  ,0.017   ,0.019   ,0.007   ,1.39    ,42      ,33    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,2300,5.6   ,5     ,26.1  ,N/A  ,0.018   ,0.026   ,0.001   ,1.52    ,52      ,34    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970102,2400,5.2   ,358   ,25.2  ,N/A  ,0.022   ,0.021   ,0.002   ,1.24    ,43      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970103,0100,6.6   ,352   ,24.6  ,N/A  ,0.016   ,0.015   ,0.006   ,CAL     ,63      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19970103,0200,5.8   ,6     ,24.2  ,N/A  ,CAL     ,0.011   ,0.011   ,0.64    ,21      ,36    
