,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0100,4.0   ,333   ,24.6  ,N/A  ,N/A     ,0.008   ,0.004   ,0.70    ,23      ,21    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0200,5.8   ,336   ,24.1  ,N/A  ,N/A     ,0.005   ,0.008   ,0.47    ,17      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0300,4.2   ,349   ,24.2  ,N/A  ,N/A     ,0.003   ,0.010   ,0.44    ,27      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0400,3.8   ,342   ,23.7  ,N/A  ,N/A     ,0.005   ,0.005   ,0.43    ,23      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0500,5.8   ,344   ,24.2  ,N/A  ,N/A     ,0.002   ,0.010   ,0.36    ,19      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0600,6.2   ,339   ,24.3  ,N/A  ,N/A     ,0.001   ,0.014   ,0.31    ,26      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0700,5.2   ,336   ,23.8  ,N/A  ,N/A     ,0.004   ,0.008   ,0.43    ,32      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0800,3.7   ,8     ,23.7  ,N/A  ,N/A     ,0.005   ,0.008   ,0.51    ,24      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,0900,5.0   ,346   ,23.9  ,N/A  ,N/A     ,0.008   ,0.003   ,CAL     ,39      ,20    ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19990101,1000,3.9   ,76    ,27.2  ,N/A  ,N/A     ,CAL     ,0.009   ,1.04    ,50      ,21    ,,
