Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0100,2.5   ,N/A   ,24.1  ,86   ,0.002   ,0.013   ,0.002   ,1.38    ,62      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0200,3.4   ,N/A   ,24.2  ,85   ,0.002   ,0.013   ,0.002   ,1.21    ,42      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0300,3.4   ,N/A   ,24.1  ,84   ,0.002   ,0.013   ,0.002   ,0.97    ,29      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0400,2.8   ,N/A   ,23.8  ,84   ,0.002   ,0.012   ,0.003   ,0.89    ,30      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0500,2.5   ,N/A   ,23.9  ,82   ,0.002   ,0.007   ,0.005   ,0.66    ,28      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0600,2.8   ,N/A   ,24.0  ,80   ,0.002   ,0.009   ,0.005   ,0.63    ,26      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0700,2.7   ,N/A   ,23.5  ,83   ,0.002   ,0.012   ,0.002   ,1.02    ,37      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0800,2.6   ,N/A   ,23.4  ,84   ,0.002   ,0.011   ,0.002   ,0.86    ,33      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,0900,3.7   ,N/A   ,24.4  ,83   ,0.002   ,0.009   ,0.004   ,0.81    ,28      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1000,5.6   ,N/A   ,26.4  ,76   ,0.002   ,0.006   ,0.006   ,0.67    ,37      ,38    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1100,8.1   ,N/A   ,29.1  ,67   ,0.002   ,0.005   ,0.010   ,0.58    ,21      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1200,7.3   ,N/A   ,31.4  ,58   ,0.001   ,CAL     ,0.013   ,0.42    ,22      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1300,7.2   ,N/A   ,31.8  ,57   ,0.001   ,0.005   ,0.015   ,CAL     ,21      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1400,11.6  ,N/A   ,31.7  ,58   ,0.002   ,0.005   ,0.015   ,0.41    ,19      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1500,13.1  ,N/A   ,31.2  ,58   ,CAL     ,0.004   ,0.013   ,0.40    ,20      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1600,12.5  ,N/A   ,31.0  ,60   ,0.004   ,0.005   ,CAL     ,0.46    ,16      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1700,7.7   ,N/A   ,26.1  ,80   ,0.002   ,0.009   ,0.009   ,0.50    ,37      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1800,5.5   ,N/A   ,23.9  ,86   ,0.002   ,0.010   ,0.005   ,0.57    ,29      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,1900,2.6   ,N/A   ,23.7  ,86   ,0.002   ,0.012   ,0.004   ,0.79    ,27      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,2000,2.6   ,N/A   ,23.5  ,86   ,0.002   ,0.015   ,0.002   ,1.15    ,31      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,2100,2.8   ,N/A   ,23.5  ,86   ,0.002   ,0.014   ,0.002   ,1.27    ,30      ,33    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,2200,2.3   ,N/A   ,23.7  ,85   ,0.003   ,0.014   ,0.002   ,1.26    ,42      ,32    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,2300,2.0   ,N/A   ,23.6  ,84   ,0.002   ,0.013   ,0.002   ,1.00    ,23      ,31    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090101,2400,1.9   ,N/A   ,23.5  ,84   ,0.002   ,0.012   ,0.002   ,0.87    ,31      ,30    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0100,2.1   ,N/A   ,23.4  ,84   ,0.002   ,0.011   ,0.002   ,0.70    ,12      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0200,1.8   ,N/A   ,23.4  ,83   ,0.001   ,0.010   ,0.003   ,0.50    ,41      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0300,1.3   ,N/A   ,23.3  ,84   ,0.002   ,0.011   ,0.002   ,0.66    ,34      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0400,2.2   ,N/A   ,23.2  ,85   ,0.002   ,0.009   ,0.002   ,0.63    ,25      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0500,2.6   ,N/A   ,23.0  ,86   ,0.002   ,0.006   ,0.003   ,0.40    ,26      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0600,2.1   ,N/A   ,23.2  ,85   ,0.002   ,0.005   ,0.003   ,0.36    ,30      ,28    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0700,1.1   ,N/A   ,23.3  ,85   ,0.003   ,0.007   ,0.002   ,0.47    ,10      ,27    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20090102,0800,3.3   ,N/A   ,23.1  ,86   ,0.003   ,0.009   ,0.002   ,1.19    ,60      ,28    
