Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0100,3.4   ,99    ,25.7  ,72   ,0.002   ,0.024   ,0.003   ,0.74    ,48      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0200,4.3   ,48    ,25.7  ,71   ,0.002   ,0.024   ,0.005   ,0.84    ,57      ,48    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0300,4.7   ,172   ,25.6  ,72   ,0.001   ,0.015   ,0.011   ,0.55    ,42      ,48    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0400,2.5   ,144   ,24.7  ,74   ,0.001   ,0.016   ,0.009   ,0.59    ,43      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0500,3.3   ,348   ,24.7  ,75   ,0.001   ,0.018   ,0.009   ,0.50    ,39      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0600,3.3   ,8     ,24.4  ,76   ,0.000   ,0.011   ,0.015   ,0.43    ,34      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0700,4.0   ,326   ,24.3  ,76   ,0.000   ,0.013   ,0.013   ,0.50    ,35      ,46    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0800,3.8   ,23    ,24.0  ,75   ,0.001   ,0.013   ,0.015   ,0.58    ,26      ,45    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,0900,3.5   ,38    ,24.8  ,71   ,0.001   ,0.016   ,0.015   ,0.81    ,32      ,44    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1000,5.1   ,70    ,27.2  ,64   ,0.000   ,0.017   ,0.018   ,0.73    ,20      ,43    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1100,6.8   ,96    ,29.7  ,58   ,0.000   ,0.015   ,0.022   ,0.67    ,29      ,43    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1200,7.9   ,66    ,31.8  ,51   ,0.000   ,0.014   ,0.025   ,0.67    ,31      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1300,8.8   ,143   ,33.6  ,46   ,0.000   ,0.013   ,0.029   ,0.46    ,23      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1400,7.1   ,39    ,34.1  ,46   ,0.000   ,0.013   ,0.030   ,0.45    ,15      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1500,5.5   ,18    ,34.2  ,45   ,0.000   ,0.012   ,0.030   ,0.55    ,42      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1600,8.4   ,37    ,32.7  ,48   ,0.000   ,0.011   ,0.040   ,CAL     ,27      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1700,9.5   ,41    ,31.6  ,52   ,0.001   ,0.010   ,0.043   ,0.53    ,36      ,43    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1800,9.5   ,57    ,30.9  ,55   ,0.001   ,CAL     ,0.037   ,0.69    ,35      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,1900,7.6   ,78    ,30.4  ,57   ,0.000   ,0.019   ,CAL     ,0.76    ,48      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,2000,5.5   ,110   ,28.8  ,59   ,CAL     ,0.025   ,0.008   ,1.08    ,38      ,38    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,2100,5.6   ,80    ,27.8  ,62   ,0.005   ,0.025   ,0.006   ,1.26    ,49      ,38    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,2200,4.1   ,73    ,26.6  ,66   ,0.003   ,0.024   ,0.005   ,1.14    ,41      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,2300,3.3   ,48    ,26.3  ,69   ,0.002   ,0.026   ,0.004   ,1.09    ,37      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080101,2400,3.3   ,339   ,25.6  ,70   ,0.001   ,0.020   ,0.009   ,0.96    ,54      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0100,3.1   ,66    ,24.7  ,73   ,0.001   ,0.018   ,0.009   ,0.75    ,40      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0200,2.9   ,304   ,24.8  ,72   ,0.001   ,0.013   ,0.013   ,0.74    ,31      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0300,2.9   ,127   ,24.5  ,72   ,0.000   ,0.008   ,0.015   ,0.52    ,25      ,35    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0400,2.9   ,355   ,24.6  ,71   ,0.000   ,0.006   ,0.017   ,0.49    ,30      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0500,3.0   ,348   ,24.4  ,70   ,0.000   ,0.005   ,0.017   ,0.50    ,35      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0600,2.0   ,360   ,23.5  ,72   ,0.000   ,0.009   ,0.013   ,0.50    ,25      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0700,2.5   ,239   ,23.7  ,73   ,0.001   ,0.018   ,0.005   ,0.58    ,37      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0800,2.5   ,356   ,23.3  ,75   ,0.002   ,0.021   ,0.002   ,1.29    ,40      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,0900,2.7   ,351   ,24.3  ,73   ,0.004   ,0.024   ,0.003   ,1.60    ,35      ,34    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1000,4.0   ,336   ,26.5  ,67   ,0.002   ,0.018   ,0.007   ,0.82    ,49      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1100,3.8   ,64    ,28.3  ,63   ,0.002   ,0.017   ,0.011   ,0.59    ,41      ,36    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1200,4.6   ,17    ,30.5  ,58   ,0.002   ,0.016   ,0.018   ,0.72    ,45      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1300,4.2   ,81    ,32.4  ,53   ,0.000   ,0.014   ,0.028   ,0.62    ,38      ,37    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1400,5.2   ,155   ,33.4  ,50   ,0.001   ,0.017   ,0.049   ,0.55    ,41      ,49    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1500,6.0   ,29    ,33.7  ,46   ,0.002   ,0.011   ,0.056   ,CAL     ,32      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20080102,1600,7.7   ,294   ,31.5  ,54   ,0.002   ,0.019   ,0.046   ,0.54    ,42      ,46    
