,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0100,1.9   ,29    ,23.9  ,86   ,0.000   ,0.015   ,0.001   ,2.31    ,67      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0200,2.6   ,23    ,23.7  ,86   ,0.000   ,0.007   ,0.001   ,1.47    ,63      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0300,2.1   ,10    ,23.5  ,87   ,0.000   ,0.007   ,0.001   ,1.28    ,52      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0400,1.5   ,334   ,23.4  ,87   ,0.001   ,0.004   ,0.001   ,0.94    ,44      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0500,1.5   ,349   ,23.2  ,87   ,0.000   ,0.004   ,0.001   ,0.98    ,57      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0600,1.5   ,343   ,22.9  ,87   ,0.000   ,0.004   ,0.001   ,0.82    ,50      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0700,1.2   ,320   ,22.8  ,87   ,0.000   ,0.002   ,0.001   ,0.91    ,37      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0800,1.4   ,342   ,22.9  ,87   ,0.002   ,0.003   ,0.001   ,1.00    ,45      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,0900,2.2   ,17    ,23.4  ,86   ,0.001   ,0.003   ,0.001   ,0.99    ,44      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1000,3.9   ,38    ,25.4  ,78   ,0.000   ,0.002   ,0.004   ,0.62    ,27      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1100,3.6   ,69    ,29.0  ,66   ,0.000   ,0.002   ,0.011   ,0.39    ,25      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1200,3.9   ,326   ,31.0  ,57   ,N/A     ,0.002   ,0.026   ,CAL     ,18      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1300,5.1   ,25    ,31.8  ,53   ,0.001   ,CAL     ,0.029   ,0.29    ,22      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1400,8.1   ,295   ,31.5  ,57   ,0.001   ,0.004   ,CAL     ,0.32    ,31      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1500,8.2   ,253   ,31.1  ,56   ,0.000   ,0.004   ,0.026   ,0.27    ,18      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1600,8.8   ,205   ,29.0  ,67   ,0.000   ,0.005   ,0.030   ,0.25    ,33      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1700,3.4   ,348   ,25.7  ,79   ,0.001   ,0.013   ,0.013   ,0.73    ,20      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1800,2.6   ,50    ,25.5  ,78   ,0.000   ,0.016   ,0.010   ,0.96    ,43      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,1900,5.5   ,72    ,25.4  ,79   ,0.001   ,0.016   ,0.004   ,1.11    ,37      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,2000,2.9   ,0     ,23.7  ,81   ,0.002   ,0.019   ,0.003   ,0.91    ,34      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,2100,3.4   ,334   ,23.5  ,85   ,0.002   ,0.018   ,0.002   ,0.98    ,31      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,2200,2.2   ,26    ,23.3  ,86   ,0.001   ,0.017   ,0.002   ,0.97    ,30      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,2300,1.8   ,25    ,23.5  ,86   ,0.001   ,0.013   ,0.002   ,1.14    ,35      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110101,2400,2.1   ,324   ,23.7  ,86   ,0.002   ,0.013   ,0.001   ,1.17    ,42      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0100,2.0   ,4     ,23.6  ,85   ,0.000   ,0.012   ,0.001   ,1.01    ,42      ,37    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0200,1.8   ,30    ,23.4  ,85   ,0.000   ,0.008   ,0.001   ,0.63    ,39      ,36    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0300,1.9   ,319   ,23.5  ,85   ,0.000   ,0.006   ,0.001   ,0.56    ,37      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0400,1.4   ,6     ,23.5  ,84   ,0.000   ,0.007   ,0.002   ,0.51    ,33      ,35    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0500,1.4   ,9     ,23.4  ,83   ,0.000   ,0.006   ,0.003   ,0.45    ,34      ,34    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0600,1.8   ,314   ,23.5  ,83   ,0.000   ,0.003   ,0.003   ,0.43    ,39      ,33    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0700,1.3   ,280   ,23.4  ,84   ,0.001   ,0.004   ,0.002   ,0.64    ,41      ,33    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0800,1.3   ,245   ,23.4  ,84   ,0.001   ,0.007   ,0.002   ,1.02    ,50      ,34    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,0900,1.7   ,295   ,24.5  ,78   ,0.002   ,0.009   ,0.004   ,0.94    ,40      ,33    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1000,1.7   ,122   ,27.5  ,68   ,CAL     ,0.010   ,0.011   ,0.61    ,47      ,34    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1100,2.9   ,99    ,30.1  ,62   ,0.004   ,0.017   ,0.020   ,CAL     ,75      ,36    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1200,7.2   ,175   ,33.3  ,55   ,0.000   ,CAL     ,0.032   ,0.26    ,42      ,37    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1300,7.1   ,229   ,33.3  ,55   ,0.000   ,0.001   ,CAL     ,0.20    ,25      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1400,6.3   ,7     ,34.7  ,51   ,0.000   ,0.003   ,0.045   ,0.28    ,36      ,45    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1500,7.3   ,327   ,33.3  ,53   ,0.000   ,0.005   ,0.053   ,0.35    ,36      ,53    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1600,8.3   ,311   ,33.2  ,51   ,0.000   ,0.006   ,0.058   ,0.33    ,39      ,58    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1700,11.0  ,309   ,31.6  ,55   ,0.000   ,0.005   ,0.051   ,0.29    ,45      ,51    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1800,5.9   ,310   ,29.6  ,63   ,0.000   ,0.012   ,0.034   ,0.47    ,36      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,1900,4.6   ,93    ,28.5  ,70   ,0.000   ,0.019   ,0.018   ,0.76    ,65      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,2000,9.4   ,119   ,27.7  ,74   ,0.000   ,0.018   ,0.011   ,0.69    ,43      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,2100,7.5   ,131   ,26.4  ,77   ,0.000   ,0.015   ,0.011   ,0.54    ,52      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,2200,7.7   ,128   ,25.8  ,78   ,0.000   ,0.014   ,0.009   ,0.55    ,37      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,2300,4.3   ,113   ,25.7  ,79   ,0.000   ,0.016   ,0.008   ,0.63    ,41      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110102,2400,1.9   ,88    ,25.6  ,78   ,0.000   ,0.022   ,0.004   ,0.76    ,42      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0100,1.8   ,52    ,25.6  ,78   ,0.000   ,0.019   ,0.005   ,0.60    ,40      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0200,2.4   ,78    ,25.3  ,81   ,0.000   ,0.018   ,0.001   ,0.76    ,40      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0300,1.7   ,77    ,24.2  ,84   ,0.000   ,0.013   ,0.002   ,0.58    ,44      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0400,2.5   ,61    ,24.3  ,84   ,0.000   ,0.009   ,0.004   ,0.44    ,46      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0500,2.5   ,12    ,24.4  ,85   ,0.000   ,0.009   ,0.005   ,0.39    ,43      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0600,2.4   ,46    ,24.4  ,84   ,0.000   ,0.009   ,0.004   ,0.37    ,39      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0700,2.6   ,25    ,24.1  ,81   ,0.000   ,0.010   ,0.002   ,0.51    ,40      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0800,3.2   ,58    ,23.9  ,81   ,0.001   ,0.014   ,0.002   ,1.83    ,55      ,44    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,0900,3.7   ,42    ,24.9  ,79   ,CAL     ,0.013   ,0.002   ,1.10    ,48      ,44    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1000,2.5   ,267   ,24.1  ,84   ,0.001   ,0.009   ,0.004   ,CAL     ,40      ,44    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1100,2.5   ,18    ,24.4  ,81   ,0.000   ,CAL     ,0.005   ,0.67    ,36      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1200,2.4   ,334   ,23.8  ,84   ,0.000   ,0.013   ,CAL     ,0.85    ,42      ,42    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1300,4.0   ,70    ,23.4  ,86   ,0.000   ,0.018   ,0.003   ,0.93    ,42      ,43    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1400,4.4   ,80    ,23.7  ,86   ,0.000   ,0.017   ,0.006   ,0.93    ,6       ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1500,5.2   ,65    ,24.2  ,83   ,0.000   ,0.014   ,0.008   ,0.74    ,34      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1600,4.0   ,57    ,23.8  ,82   ,0.000   ,0.018   ,0.004   ,1.00    ,32      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1700,4.3   ,123   ,24.8  ,78   ,0.000   ,0.017   ,0.007   ,0.73    ,18      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1800,4.9   ,93    ,25.7  ,75   ,0.000   ,0.017   ,0.006   ,0.81    ,23      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,1900,2.5   ,9     ,25.0  ,77   ,0.000   ,0.016   ,0.004   ,1.21    ,31      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,2000,2.3   ,340   ,24.7  ,80   ,0.001   ,0.016   ,0.002   ,1.25    ,40      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,2100,1.9   ,308   ,24.5  ,81   ,0.001   ,0.015   ,0.002   ,1.64    ,50      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,2200,2.8   ,291   ,24.7  ,80   ,0.002   ,0.016   ,0.002   ,1.56    ,43      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,2300,1.7   ,268   ,24.9  ,79   ,0.003   ,0.015   ,0.002   ,1.93    ,48      ,38    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110103,2400,2.1   ,305   ,24.7  ,80   ,0.006   ,0.015   ,0.001   ,1.71    ,47      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0100,1.9   ,78    ,24.5  ,80   ,0.003   ,0.011   ,0.002   ,1.29    ,46      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0200,1.8   ,74    ,24.0  ,84   ,0.001   ,0.009   ,0.001   ,1.53    ,64      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0300,1.5   ,51    ,23.2  ,85   ,0.001   ,0.009   ,0.000   ,0.99    ,35      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0400,1.4   ,7     ,22.8  ,86   ,0.001   ,0.008   ,0.001   ,0.73    ,49      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0500,1.3   ,354   ,22.5  ,86   ,0.000   ,0.005   ,0.001   ,0.58    ,48      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0600,1.8   ,351   ,22.4  ,86   ,0.001   ,0.004   ,0.001   ,0.57    ,45      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0700,2.1   ,3     ,22.1  ,86   ,0.001   ,0.003   ,0.001   ,0.65    ,48      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0800,2.0   ,317   ,21.9  ,86   ,CAL     ,0.005   ,0.002   ,1.58    ,48      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,0900,2.4   ,346   ,22.8  ,81   ,0.002   ,0.006   ,0.002   ,CAL     ,45      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,1000,4.7   ,32    ,26.7  ,70   ,0.001   ,CAL     ,0.005   ,0.64    ,30      ,40    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,1100,5.9   ,52    ,30.7  ,61   ,0.000   ,0.007   ,CAL     ,0.37    ,30      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,1200,4.5   ,40    ,33.0  ,55   ,0.000   ,0.005   ,0.017   ,0.15    ,25      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20110104,1300,4.5   ,92    ,34.6  ,49   ,0.000   ,0.005   ,0.030   ,0.11    ,36      ,38    
