,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0100,7.7   ,N/A   ,24.1  ,N/A  ,0.002   ,0.010   ,0.022   ,CAL     ,N/A     ,22    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0200,8.9   ,N/A   ,24.0  ,N/A  ,CAL     ,0.009   ,0.022   ,0.27    ,N/A     ,22    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0300,10.1  ,N/A   ,23.8  ,N/A  ,0.001   ,CAL     ,0.023   ,0.18    ,N/A     ,23    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0400,9.8   ,N/A   ,23.6  ,N/A  ,0.000   ,0.004   ,CAL     ,0.13    ,N/A     ,N/A   
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0500,8.8   ,N/A   ,23.4  ,N/A  ,0.000   ,0.004   ,0.025   ,0.12    ,N/A     ,25    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0600,8.6   ,N/A   ,23.0  ,N/A  ,0.000   ,0.004   ,0.026   ,0.06    ,N/A     ,26    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0700,7.5   ,N/A   ,22.5  ,N/A  ,0.000   ,0.004   ,0.026   ,0.04    ,N/A     ,26    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0800,6.0   ,N/A   ,22.2  ,N/A  ,0.000   ,0.007   ,0.023   ,0.10    ,N/A     ,23    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,0900,7.6   ,N/A   ,22.7  ,N/A  ,0.003   ,0.009   ,0.022   ,0.16    ,N/A     ,22    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1000,9.2   ,N/A   ,24.1  ,N/A  ,0.000   ,0.007   ,0.027   ,0.11    ,N/A     ,27    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1100,8.1   ,N/A   ,25.7  ,N/A  ,0.001   ,0.007   ,0.035   ,0.17    ,N/A     ,35    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1200,8.2   ,N/A   ,27.4  ,N/A  ,0.001   ,0.005   ,0.042   ,0.16    ,N/A     ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1300,9.4   ,N/A   ,29.1  ,N/A  ,0.001   ,0.004   ,0.043   ,0.11    ,N/A     ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1400,11.6  ,N/A   ,30.1  ,N/A  ,0.000   ,0.002   ,0.041   ,0.05    ,N/A     ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1500,11.4  ,N/A   ,30.6  ,N/A  ,0.005   ,0.003   ,0.046   ,0.05    ,N/A     ,46    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1600,15.5  ,N/A   ,29.5  ,N/A  ,0.021   ,0.005   ,0.047   ,0.09    ,N/A     ,47    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19960101,1700,15.1  ,N/A   ,29.5  ,N/A  ,0.007   ,0.004   ,0.043   ,0.09    ,N/A     ,43    
