Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0100,4.6   ,4     ,25.9  ,N/A  ,0.008   ,0.020   ,0.005   ,0.97    ,66      ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0200,6.1   ,9     ,25.4  ,N/A  ,0.008   ,0.019   ,0.005   ,CAL     ,70      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0300,6.3   ,20    ,24.8  ,N/A  ,0.008   ,0.018   ,0.004   ,1.13    ,64      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0400,7.7   ,12    ,24.0  ,N/A  ,0.007   ,0.011   ,0.009   ,0.63    ,66      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0500,7.4   ,11    ,23.4  ,N/A  ,0.007   ,0.010   ,0.009   ,0.62    ,60      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0600,7.3   ,13    ,23.0  ,N/A  ,0.007   ,0.008   ,0.011   ,0.50    ,53      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0700,8.1   ,9     ,22.8  ,N/A  ,0.007   ,0.008   ,0.010   ,0.50    ,52      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0800,7.7   ,14    ,22.6  ,N/A  ,0.007   ,0.009   ,0.008   ,0.54    ,45      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,0900,9.5   ,13    ,23.5  ,N/A  ,0.007   ,0.007   ,0.011   ,0.45    ,49      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1000,9.1   ,5     ,25.3  ,N/A  ,0.006   ,0.006   ,0.018   ,0.45    ,48      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1100,10.1  ,13    ,27.5  ,N/A  ,0.006   ,0.004   ,0.024   ,0.37    ,48      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1200,9.9   ,17    ,29.6  ,N/A  ,0.006   ,CAL     ,0.032   ,0.35    ,49      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1300,9.6   ,10    ,31.2  ,N/A  ,0.006   ,0.004   ,0.034   ,0.32    ,43      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1400,12.2  ,331   ,31.1  ,N/A  ,0.024   ,0.006   ,0.040   ,0.34    ,30      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1500,14.6  ,310   ,30.7  ,N/A  ,0.040   ,0.007   ,0.043   ,0.31    ,49      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1600,10.9  ,288   ,31.2  ,N/A  ,0.020   ,0.005   ,0.049   ,0.33    ,52      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1700,15.4  ,315   ,30.4  ,N/A  ,0.023   ,0.005   ,CAL     ,0.30    ,44      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1800,16.3  ,317   ,30.1  ,N/A  ,CAL     ,0.004   ,CAL     ,0.29    ,51      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,1900,13.5  ,313   ,29.5  ,N/A  ,CAL     ,0.004   ,0.028   ,0.33    ,35      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,2000,8.5   ,318   ,28.9  ,N/A  ,0.026   ,0.010   ,0.020   ,0.38    ,N/A     ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,2100,6.9   ,327   ,28.7  ,N/A  ,0.029   ,0.014   ,0.016   ,0.55    ,N/A     ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,2200,7.1   ,12    ,28.6  ,N/A  ,0.009   ,0.017   ,0.009   ,0.82    ,N/A     ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,2300,7.1   ,7     ,27.7  ,N/A  ,0.007   ,0.015   ,0.011   ,0.72    ,N/A     ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020101,2400,6.8   ,357   ,26.5  ,N/A  ,0.007   ,0.013   ,0.013   ,0.64    ,N/A     ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0100,5.8   ,355   ,25.8  ,N/A  ,0.007   ,0.008   ,0.015   ,CAL     ,N/A     ,50    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0200,5.2   ,354   ,25.0  ,N/A  ,0.007   ,0.008   ,0.014   ,0.46    ,N/A     ,49    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0300,6.5   ,339   ,24.7  ,N/A  ,0.008   ,0.005   ,0.018   ,0.40    ,N/A     ,48    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0400,7.1   ,355   ,24.7  ,N/A  ,0.006   ,0.003   ,0.020   ,0.34    ,N/A     ,47    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0500,7.7   ,2     ,24.6  ,N/A  ,0.006   ,0.002   ,0.023   ,0.29    ,N/A     ,46    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0600,6.5   ,0     ,24.2  ,N/A  ,0.008   ,0.004   ,0.020   ,0.32    ,N/A     ,46    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0700,9.0   ,6     ,23.8  ,N/A  ,0.007   ,0.008   ,0.014   ,0.41    ,N/A     ,45    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0800,8.0   ,1     ,23.4  ,N/A  ,0.008   ,0.011   ,0.012   ,0.58    ,N/A     ,31    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,0900,8.2   ,358   ,23.8  ,N/A  ,0.012   ,0.014   ,0.010   ,0.79    ,N/A     ,32    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1000,10.9  ,11    ,25.2  ,N/A  ,0.007   ,0.011   ,0.017   ,0.49    ,N/A     ,32    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1100,11.5  ,15    ,27.2  ,N/A  ,0.004   ,CAL     ,0.023   ,0.41    ,N/A     ,31    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1200,10.7  ,19    ,29.3  ,N/A  ,0.004   ,0.009   ,0.029   ,0.47    ,125     ,31    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1300,9.8   ,19    ,30.8  ,N/A  ,0.004   ,0.007   ,0.034   ,0.44    ,58      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1400,10.0  ,11    ,31.4  ,N/A  ,0.003   ,0.005   ,0.040   ,0.35    ,57      ,40    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1500,11.8  ,356   ,31.5  ,N/A  ,0.005   ,0.006   ,0.041   ,0.42    ,51      ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1600,16.8  ,318   ,30.9  ,N/A  ,0.026   ,0.008   ,CAL     ,0.32    ,58      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1700,17.7  ,317   ,30.5  ,N/A  ,CAL     ,0.007   ,CAL     ,0.31    ,59      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1800,13.9  ,321   ,30.4  ,N/A  ,CAL     ,0.011   ,0.023   ,0.45    ,64      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,1900,8.2   ,345   ,30.8  ,N/A  ,0.018   ,0.019   ,0.016   ,0.66    ,63      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,2000,7.7   ,339   ,29.8  ,N/A  ,0.009   ,0.023   ,0.011   ,0.85    ,78      ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,2100,10.9  ,359   ,28.6  ,N/A  ,0.008   ,0.014   ,0.016   ,0.60    ,100     ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,2200,11.0  ,3     ,27.5  ,N/A  ,0.006   ,0.017   ,0.012   ,0.65    ,75      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,2300,11.1  ,9     ,26.4  ,N/A  ,0.005   ,0.013   ,0.016   ,0.53    ,76      ,61    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20020102,2400,9.6   ,5     ,25.4  ,N/A  ,0.004   ,0.010   ,0.018   ,CAL     ,53      ,60    
