Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0100,2.9   ,48    ,26.2  ,74   ,0.002   ,0.018   ,0.011   ,0.79    ,78      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0200,4.1   ,21    ,25.8  ,75   ,0.001   ,0.017   ,0.012   ,0.68    ,65      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0300,3.9   ,74    ,25.3  ,75   ,0.001   ,0.007   ,0.022   ,0.26    ,49      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0400,2.1   ,29    ,24.2  ,78   ,0.001   ,0.012   ,0.015   ,0.44    ,62      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0500,1.7   ,15    ,23.7  ,80   ,0.001   ,0.016   ,0.009   ,0.70    ,96      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0600,1.6   ,348   ,23.0  ,82   ,0.002   ,0.018   ,0.006   ,0.53    ,85      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0700,2.8   ,355   ,22.5  ,85   ,0.002   ,CAL     ,0.002   ,0.71    ,61      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0800,3.1   ,342   ,22.4  ,86   ,0.002   ,0.017   ,CAL     ,0.75    ,58      ,58    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,0900,5.1   ,323   ,24.0  ,83   ,CAL     ,0.011   ,0.011   ,0.51    ,47      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1000,5.0   ,119   ,27.8  ,73   ,0.001   ,0.009   ,0.018   ,CAL     ,40      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1100,5.6   ,57    ,31.2  ,61   ,0.000   ,0.009   ,0.025   ,0.31    ,35      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1200,6.6   ,52    ,31.8  ,54   ,0.000   ,0.008   ,0.031   ,0.21    ,49      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1300,7.3   ,57    ,33.3  ,51   ,0.000   ,0.008   ,0.038   ,0.22    ,49      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1400,14.9  ,19    ,30.2  ,61   ,0.000   ,0.005   ,0.039   ,0.09    ,53      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1500,13.9  ,22    ,30.1  ,62   ,0.001   ,0.007   ,0.037   ,0.18    ,36      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1600,13.5  ,27    ,30.7  ,59   ,0.000   ,0.006   ,0.037   ,0.18    ,59      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1700,14.1  ,25    ,30.0  ,61   ,0.000   ,0.009   ,0.038   ,0.28    ,54      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1800,11.3  ,9     ,29.7  ,62   ,0.001   ,0.011   ,0.035   ,0.44    ,55      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,1900,11.5  ,38    ,28.6  ,69   ,0.002   ,0.010   ,0.038   ,0.52    ,60      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,2000,10.9  ,49    ,28.1  ,69   ,0.002   ,0.014   ,0.031   ,0.55    ,53      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,2100,11.6  ,50    ,27.9  ,72   ,0.002   ,0.012   ,0.028   ,0.48    ,49      ,54    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,2200,8.0   ,17    ,27.8  ,72   ,0.002   ,0.014   ,0.021   ,0.59    ,47      ,54    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,2300,8.0   ,61    ,27.9  ,71   ,0.002   ,0.014   ,0.022   ,0.57    ,54      ,53    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070101,2400,3.5   ,42    ,27.4  ,72   ,0.001   ,0.018   ,0.015   ,0.58    ,55      ,53    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20070102,0100,2.6   ,58    ,26.7  ,76   ,0.002   ,0.024   ,0.007   ,0.89    ,72      ,53    
