Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0100,2.7   ,339   ,24.2  ,93   ,0.001   ,0.008   ,CAL     ,1.08    ,27      ,33    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0200,1.6   ,339   ,24.3  ,93   ,0.001   ,0.007   ,0.001   ,CAL     ,29      ,33    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0300,3.2   ,346   ,24.1  ,91   ,0.001   ,CAL     ,0.002   ,0.93    ,34      ,34    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0400,1.7   ,324   ,24.1  ,92   ,0.000   ,0.007   ,0.002   ,0.79    ,18      ,34    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0500,1.1   ,332   ,24.0  ,93   ,0.000   ,0.005   ,0.002   ,0.54    ,20      ,34    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0600,1.1   ,325   ,23.7  ,93   ,0.000   ,0.004   ,0.004   ,0.45    ,17      ,34    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0700,1.6   ,335   ,23.7  ,93   ,0.000   ,0.005   ,0.002   ,0.65    ,19      ,34    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0800,2.0   ,349   ,24.4  ,90   ,0.000   ,0.007   ,0.004   ,0.59    ,27      ,35    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,0900,6.9   ,1     ,25.2  ,88   ,0.001   ,0.006   ,0.008   ,0.62    ,21      ,33    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,1000,7.2   ,1     ,26.8  ,83   ,0.001   ,0.005   ,0.015   ,0.54    ,25      ,32    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,1100,6.6   ,2     ,28.4  ,77   ,0.001   ,0.005   ,0.020   ,0.61    ,24      ,31    
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20060101,1200,7.3   ,14    ,32.3  ,67   ,0.000   ,0.005   ,0.034   ,0.57    ,17      ,34    
