,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0100,2.2   ,22    ,24.4  ,N/A  ,0.007   ,0.008   ,0.001   ,1.41    ,36      ,22    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0200,2.5   ,352   ,24.1  ,N/A  ,0.008   ,0.008   ,0.001   ,1.32    ,29      ,22    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0300,1.4   ,83    ,24.0  ,N/A  ,0.008   ,0.008   ,0.001   ,1.11    ,38      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0400,1.1   ,41    ,23.9  ,N/A  ,0.008   ,0.007   ,0.001   ,1.11    ,37      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0500,1.2   ,318   ,23.7  ,N/A  ,0.008   ,0.007   ,0.001   ,1.13    ,27      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0600,1.0   ,117   ,23.6  ,N/A  ,0.008   ,0.008   ,0.002   ,1.02    ,28      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0700,1.3   ,159   ,23.5  ,N/A  ,0.009   ,0.009   ,0.002   ,1.77    ,32      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0800,3.1   ,117   ,23.3  ,N/A  ,0.009   ,0.008   ,0.002   ,1.64    ,30      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,0900,1.8   ,357   ,23.6  ,N/A  ,0.009   ,0.008   ,0.003   ,CAL     ,38      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1000,1.1   ,181   ,25.1  ,N/A  ,CAL     ,0.010   ,0.003   ,1.15    ,72      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1100,2.1   ,175   ,26.7  ,N/A  ,0.007   ,CAL     ,0.007   ,0.86    ,32      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1200,3.6   ,75    ,28.4  ,N/A  ,0.007   ,0.007   ,CAL     ,0.64    ,30      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1300,5.0   ,88    ,30.3  ,N/A  ,0.008   ,0.002   ,0.019   ,0.37    ,47      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1400,6.4   ,65    ,31.5  ,N/A  ,0.009   ,0.004   ,0.012   ,0.20    ,33      ,26    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1500,8.4   ,57    ,31.5  ,N/A  ,0.009   ,0.006   ,0.008   ,0.55    ,14      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1600,9.7   ,62    ,31.5  ,N/A  ,0.010   ,0.007   ,0.008   ,0.64    ,14      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1700,8.2   ,62    ,32.4  ,N/A  ,0.010   ,0.004   ,0.009   ,0.55    ,17      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1800,8.4   ,158   ,29.7  ,N/A  ,0.015   ,0.010   ,0.014   ,0.66    ,25      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,1900,6.2   ,152   ,28.8  ,N/A  ,0.012   ,0.014   ,0.011   ,0.78    ,21      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,2000,3.0   ,112   ,28.1  ,N/A  ,0.012   ,0.020   ,0.006   ,1.28    ,42      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,2100,2.0   ,67    ,27.5  ,N/A  ,0.012   ,0.018   ,0.003   ,1.89    ,56      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,2200,3.4   ,40    ,26.9  ,N/A  ,0.011   ,0.013   ,0.003   ,1.80    ,31      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,2300,2.6   ,68    ,26.2  ,N/A  ,0.012   ,0.015   ,0.003   ,1.89    ,65      ,23    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990101,2400,1.9   ,78    ,25.4  ,N/A  ,0.012   ,0.012   ,0.003   ,2.01    ,44      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0100,1.6   ,57    ,24.9  ,N/A  ,0.011   ,0.011   ,0.002   ,1.97    ,67      ,24    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0200,1.3   ,41    ,24.6  ,N/A  ,0.009   ,0.010   ,0.002   ,0.93    ,61      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0300,2.4   ,27    ,24.3  ,N/A  ,0.009   ,0.008   ,0.002   ,0.68    ,37      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0400,3.1   ,106   ,23.8  ,N/A  ,0.009   ,0.007   ,0.002   ,0.60    ,41      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0500,1.3   ,34    ,23.4  ,N/A  ,0.009   ,0.007   ,0.002   ,0.54    ,22      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0600,1.3   ,39    ,23.1  ,N/A  ,0.009   ,0.006   ,0.002   ,0.56    ,41      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0700,2.0   ,60    ,23.0  ,N/A  ,0.010   ,0.008   ,0.002   ,0.78    ,36      ,25    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0800,2.8   ,62    ,22.9  ,N/A  ,0.011   ,0.009   ,0.003   ,CAL     ,53      ,26    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,0900,1.2   ,35    ,24.4  ,N/A  ,CAL     ,0.013   ,0.004   ,2.50    ,41      ,26    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1000,4.2   ,7     ,27.1  ,N/A  ,0.012   ,CAL     ,0.006   ,1.08    ,104     ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1100,6.6   ,1     ,29.1  ,N/A  ,0.010   ,0.009   ,CAL     ,0.87    ,48      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1200,6.0   ,49    ,30.1  ,N/A  ,0.009   ,0.009   ,0.020   ,0.50    ,33      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1300,5.9   ,45    ,31.3  ,N/A  ,0.009   ,0.005   ,0.020   ,0.28    ,39      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1400,8.7   ,27    ,30.8  ,N/A  ,0.009   ,0.008   ,0.011   ,0.59    ,21      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1500,9.4   ,314   ,30.6  ,N/A  ,0.009   ,0.010   ,0.017   ,0.74    ,43      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1600,7.3   ,327   ,31.4  ,N/A  ,0.008   ,0.008   ,0.022   ,0.50    ,23      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1700,8.1   ,325   ,30.5  ,N/A  ,0.009   ,0.013   ,0.015   ,0.77    ,41      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1800,13.8  ,333   ,29.5  ,N/A  ,0.009   ,0.009   ,0.014   ,0.81    ,52      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,1900,10.2  ,67    ,25.3  ,N/A  ,0.008   ,0.011   ,0.007   ,1.02    ,51      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,2000,4.7   ,271   ,24.2  ,N/A  ,0.009   ,0.014   ,0.004   ,1.02    ,44      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,2100,3.6   ,62    ,24.4  ,N/A  ,0.015   ,0.015   ,0.003   ,1.48    ,24      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,2200,2.6   ,85    ,23.9  ,N/A  ,0.009   ,0.011   ,0.003   ,1.54    ,49      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,2300,2.8   ,79    ,24.0  ,N/A  ,0.009   ,0.010   ,0.003   ,1.70    ,73      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990102,2400,1.1   ,27    ,24.2  ,N/A  ,0.011   ,0.011   ,0.003   ,2.15    ,62      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0100,1.3   ,69    ,24.1  ,N/A  ,0.009   ,0.010   ,0.003   ,1.34    ,68      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0200,1.2   ,16    ,24.1  ,N/A  ,0.009   ,0.009   ,0.004   ,1.33    ,59      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0300,1.3   ,68    ,24.1  ,N/A  ,0.008   ,0.008   ,0.002   ,0.89    ,59      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0400,1.2   ,36    ,23.7  ,N/A  ,0.007   ,0.007   ,0.002   ,0.86    ,52      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0500,2.2   ,64    ,23.5  ,N/A  ,0.007   ,0.005   ,0.002   ,0.67    ,46      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0600,2.2   ,71    ,23.1  ,N/A  ,0.008   ,0.004   ,0.003   ,0.68    ,42      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0700,2.1   ,52    ,23.0  ,N/A  ,0.008   ,0.006   ,0.002   ,CAL     ,43      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0800,1.4   ,54    ,23.1  ,N/A  ,CAL     ,0.005   ,0.002   ,1.08    ,27      ,32    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,0900,1.8   ,55    ,23.5  ,N/A  ,0.008   ,CAL     ,0.003   ,1.36    ,26      ,31    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1000,3.5   ,58    ,25.6  ,N/A  ,0.007   ,0.006   ,CAL     ,0.91    ,45      ,30    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1100,5.8   ,57    ,27.6  ,N/A  ,0.006   ,0.004   ,0.010   ,0.66    ,22      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1200,5.0   ,43    ,29.4  ,N/A  ,0.005   ,0.003   ,0.016   ,0.52    ,26      ,29    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1300,4.5   ,2     ,30.8  ,N/A  ,0.006   ,0.005   ,0.024   ,0.40    ,22      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1400,5.0   ,38    ,31.0  ,N/A  ,0.006   ,0.006   ,0.027   ,0.34    ,19      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1500,5.7   ,351   ,31.3  ,N/A  ,0.006   ,0.007   ,0.023   ,0.49    ,14      ,28    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1600,9.1   ,309   ,31.9  ,N/A  ,0.007   ,0.005   ,0.024   ,0.50    ,19      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1700,8.5   ,295   ,32.1  ,N/A  ,0.015   ,0.005   ,0.027   ,0.24    ,18      ,27    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",19990103,1800,9.5   ,298   ,30.7  ,N/A  ,0.034   ,0.011   ,0.023   ,0.68    ,35      ,26    
