Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0100,N/A   ,N/A   ,24.9  ,85   ,0.006   ,0.013   ,0.001   ,0.87    ,29      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0200,N/A   ,N/A   ,25.3  ,83   ,0.008   ,0.013   ,0.001   ,0.74    ,33      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0300,N/A   ,N/A   ,25.1  ,82   ,0.002   ,0.011   ,0.003   ,0.48    ,24      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0400,N/A   ,N/A   ,24.9  ,81   ,0.005   ,0.009   ,0.005   ,0.34    ,20      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0500,N/A   ,N/A   ,25.2  ,79   ,0.006   ,0.006   ,0.008   ,0.24    ,27      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0600,N/A   ,N/A   ,25.2  ,79   ,0.002   ,0.004   ,0.009   ,0.23    ,19      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0700,N/A   ,N/A   ,24.8  ,81   ,0.002   ,0.007   ,0.005   ,0.33    ,28      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0800,N/A   ,N/A   ,24.4  ,83   ,0.001   ,0.010   ,0.003   ,0.47    ,26      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,0900,N/A   ,N/A   ,25.2  ,82   ,0.001   ,0.006   ,0.006   ,0.40    ,23      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1000,N/A   ,N/A   ,27.2  ,75   ,0.002   ,0.005   ,0.009   ,0.36    ,25      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1100,N/A   ,N/A   ,31.2  ,65   ,0.003   ,0.004   ,0.013   ,0.42    ,23      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1200,N/A   ,N/A   ,32.6  ,59   ,0.002   ,0.004   ,0.017   ,0.36    ,21      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1300,N/A   ,N/A   ,33.1  ,57   ,0.002   ,0.005   ,0.020   ,0.36    ,11      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1400,N/A   ,N/A   ,33.9  ,56   ,0.001   ,0.003   ,0.021   ,0.23    ,13      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1500,N/A   ,N/A   ,33.6  ,56   ,0.001   ,0.003   ,0.019   ,0.22    ,16      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1600,N/A   ,N/A   ,33.8  ,55   ,0.002   ,0.002   ,0.019   ,0.18    ,22      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1700,N/A   ,N/A   ,27.7  ,76   ,0.001   ,0.004   ,0.016   ,0.26    ,9       ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1800,N/A   ,N/A   ,24.0  ,85   ,0.001   ,0.003   ,0.012   ,0.29    ,10      ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,1900,N/A   ,N/A   ,24.0  ,85   ,0.002   ,0.009   ,0.007   ,0.41    ,19      ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,2000,N/A   ,N/A   ,24.0  ,85   ,0.002   ,0.012   ,0.002   ,0.78    ,13      ,22    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,2100,N/A   ,N/A   ,24.1  ,84   ,0.001   ,0.013   ,0.002   ,0.74    ,22      ,22    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,2200,N/A   ,N/A   ,24.3  ,82   ,0.003   ,0.012   ,0.002   ,0.78    ,19      ,22    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,2300,N/A   ,N/A   ,24.5  ,81   ,0.002   ,0.012   ,0.002   ,0.62    ,18      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090101,2400,N/A   ,N/A   ,24.5  ,81   ,0.003   ,0.012   ,0.001   ,0.66    ,20      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0100,N/A   ,N/A   ,24.4  ,81   ,0.001   ,0.008   ,0.002   ,0.37    ,23      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0200,N/A   ,N/A   ,24.4  ,81   ,0.003   ,0.008   ,0.003   ,0.34    ,19      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0300,N/A   ,N/A   ,24.7  ,79   ,0.002   ,0.007   ,0.004   ,0.26    ,20      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0400,N/A   ,N/A   ,24.3  ,81   ,0.001   ,0.007   ,0.003   ,0.41    ,21      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0500,N/A   ,N/A   ,24.0  ,83   ,0.001   ,0.007   ,0.002   ,0.32    ,24      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0600,N/A   ,N/A   ,24.2  ,83   ,0.001   ,0.003   ,0.004   ,0.22    ,20      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0700,N/A   ,N/A   ,24.0  ,84   ,0.002   ,0.005   ,0.003   ,0.30    ,26      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0800,N/A   ,N/A   ,23.9  ,85   ,0.003   ,0.007   ,0.001   ,0.93    ,29      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,0900,N/A   ,N/A   ,26.2  ,79   ,0.002   ,0.008   ,0.002   ,1.54    ,36      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1000,N/A   ,N/A   ,30.2  ,65   ,0.003   ,0.010   ,0.005   ,0.95    ,26      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1100,N/A   ,N/A   ,31.9  ,62   ,0.003   ,0.008   ,0.009   ,0.64    ,23      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1200,N/A   ,N/A   ,32.4  ,56   ,0.002   ,0.011   ,0.015   ,0.64    ,21      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1300,N/A   ,N/A   ,34.1  ,51   ,0.003   ,0.011   ,0.021   ,0.55    ,19      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1400,N/A   ,N/A   ,34.1  ,48   ,0.002   ,0.012   ,0.019   ,0.60    ,27      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1500,N/A   ,N/A   ,32.7  ,50   ,0.002   ,0.011   ,0.016   ,0.59    ,8       ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1600,N/A   ,N/A   ,29.2  ,64   ,0.002   ,0.012   ,0.021   ,0.41    ,34      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1700,N/A   ,N/A   ,26.7  ,74   ,0.002   ,0.018   ,0.014   ,0.56    ,25      ,22    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1800,N/A   ,N/A   ,25.8  ,80   ,0.002   ,0.014   ,0.015   ,0.37    ,31      ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,1900,N/A   ,N/A   ,26.0  ,78   ,0.004   ,0.021   ,0.005   ,1.34    ,31      ,23    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,2000,N/A   ,N/A   ,25.5  ,78   ,0.005   ,0.025   ,0.002   ,2.22    ,44      ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,2100,N/A   ,N/A   ,25.6  ,79   ,0.004   ,0.025   ,0.001   ,1.98    ,46      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,2200,N/A   ,N/A   ,25.6  ,80   ,0.006   ,0.025   ,0.001   ,2.53    ,68      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,2300,N/A   ,N/A   ,25.4  ,80   ,0.008   ,0.021   ,0.001   ,1.95    ,98      ,31    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090102,2400,N/A   ,N/A   ,25.8  ,78   ,0.005   ,0.020   ,0.001   ,1.45    ,57      ,32    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0100,N/A   ,N/A   ,25.9  ,75   ,0.003   ,0.017   ,0.001   ,0.89    ,45      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0200,N/A   ,N/A   ,25.4  ,78   ,0.002   ,0.013   ,0.002   ,0.62    ,28      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0300,N/A   ,N/A   ,25.2  ,75   ,0.002   ,0.006   ,0.012   ,0.31    ,17      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0400,N/A   ,N/A   ,25.1  ,75   ,0.003   ,0.003   ,0.015   ,0.23    ,24      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0500,N/A   ,N/A   ,25.1  ,75   ,0.004   ,0.002   ,0.016   ,0.20    ,28      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0600,N/A   ,N/A   ,24.9  ,77   ,0.004   ,0.005   ,0.012   ,0.26    ,24      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0700,N/A   ,N/A   ,24.6  ,79   ,0.004   ,0.009   ,0.008   ,0.37    ,24      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0800,N/A   ,N/A   ,24.0  ,81   ,0.005   ,0.009   ,0.008   ,0.59    ,21      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,0900,N/A   ,N/A   ,23.7  ,84   ,0.005   ,0.015   ,0.005   ,1.04    ,33      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1000,N/A   ,N/A   ,23.9  ,84   ,0.003   ,0.017   ,0.005   ,1.00    ,25      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1100,N/A   ,N/A   ,26.5  ,78   ,0.005   ,0.016   ,0.010   ,0.87    ,26      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1200,N/A   ,N/A   ,27.6  ,73   ,0.004   ,0.014   ,0.013   ,0.71    ,29      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1300,N/A   ,N/A   ,28.6  ,68   ,0.003   ,0.013   ,0.017   ,0.68    ,22      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1400,N/A   ,N/A   ,29.5  ,66   ,0.003   ,0.013   ,0.021   ,0.60    ,24      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1500,N/A   ,N/A   ,30.2  ,64   ,0.003   ,0.015   ,0.029   ,0.55    ,28      ,35    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1600,N/A   ,N/A   ,29.9  ,64   ,0.002   ,0.012   ,0.029   ,0.61    ,24      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1700,N/A   ,N/A   ,28.8  ,68   ,0.002   ,0.011   ,0.029   ,0.47    ,8       ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1800,N/A   ,N/A   ,25.7  ,79   ,0.001   ,0.013   ,0.016   ,0.72    ,32      ,34    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,1900,N/A   ,N/A   ,24.1  ,87   ,0.002   ,0.021   ,0.004   ,1.10    ,25      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,2000,N/A   ,N/A   ,23.9  ,87   ,0.003   ,0.019   ,0.004   ,1.04    ,27      ,33    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,2100,N/A   ,N/A   ,23.6  ,86   ,0.009   ,0.017   ,0.007   ,0.96    ,27      ,32    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,2200,N/A   ,N/A   ,23.5  ,85   ,0.006   ,0.016   ,0.006   ,0.95    ,28      ,30    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,2300,N/A   ,N/A   ,23.7  ,83   ,0.003   ,0.011   ,0.009   ,0.66    ,21      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090103,2400,N/A   ,N/A   ,23.8  ,84   ,0.003   ,0.010   ,0.009   ,0.54    ,18      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0100,N/A   ,N/A   ,23.8  ,84   ,0.007   ,0.011   ,0.007   ,0.59    ,29      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0200,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0300,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0400,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0500,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0600,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0700,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0800,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,0900,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1000,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1100,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1200,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1300,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,24    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1400,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1500,N/A   ,N/A   ,33.8  ,47   ,0.003   ,0.006   ,0.038   ,0.42    ,20      ,38    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20090104,1600,N/A   ,N/A   ,30.8  ,58   ,0.002   ,0.004   ,0.047   ,0.36    ,15      ,47    
