Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0100,4.2   ,3     ,24.3  ,N/A  ,0.004   ,0.011   ,N/A     ,0.93    ,33      ,29    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0200,5.8   ,13    ,23.9  ,N/A  ,0.004   ,0.008   ,N/A     ,0.69    ,24      ,29    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0300,5.5   ,5     ,23.5  ,N/A  ,0.004   ,0.009   ,N/A     ,0.47    ,20      ,28    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0400,5.3   ,12    ,23.2  ,N/A  ,0.003   ,0.007   ,N/A     ,0.39    ,21      ,28    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0500,5.6   ,7     ,23.0  ,N/A  ,0.003   ,0.007   ,N/A     ,0.29    ,20      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0600,3.2   ,334   ,22.7  ,N/A  ,0.003   ,0.006   ,N/A     ,0.24    ,20      ,27    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0700,3.7   ,354   ,22.6  ,N/A  ,0.003   ,0.007   ,N/A     ,0.33    ,24      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0800,3.5   ,329   ,22.6  ,N/A  ,0.004   ,0.009   ,N/A     ,0.40    ,27      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,0900,6.7   ,5     ,23.3  ,N/A  ,0.004   ,0.007   ,N/A     ,0.39    ,21      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1000,5.4   ,28    ,25.5  ,N/A  ,0.004   ,0.006   ,N/A     ,0.35    ,26      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1100,5.5   ,40    ,27.3  ,N/A  ,0.003   ,0.006   ,N/A     ,0.25    ,22      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1200,6.2   ,224   ,28.3  ,N/A  ,0.007   ,0.007   ,N/A     ,0.19    ,23      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1300,10.9  ,203   ,29.7  ,N/A  ,0.009   ,0.006   ,N/A     ,0.17    ,24      ,26    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1400,10.6  ,236   ,30.3  ,N/A  ,0.004   ,0.003   ,N/A     ,CAL     ,14      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1500,10.4  ,284   ,29.6  ,N/A  ,CAL     ,0.002   ,N/A     ,0.20    ,19      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1600,9.5   ,262   ,30.1  ,N/A  ,0.002   ,CAL     ,N/A     ,0.25    ,17      ,25    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20010101,1700,8.7   ,241   ,28.9  ,N/A  ,0.004   ,0.006   ,N/A     ,0.23    ,21      ,25    
