Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0100,3.9   ,354   ,24.5  ,83   ,0.005   ,0.009   ,0.007   ,0.57    ,21      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0200,3.5   ,347   ,24.5  ,82   ,0.002   ,0.009   ,0.006   ,0.57    ,18      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0300,3.9   ,8     ,24.5  ,82   ,0.002   ,0.008   ,0.007   ,0.54    ,15      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0400,2.6   ,10    ,24.1  ,84   ,0.000   ,0.005   ,0.008   ,0.45    ,17      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0500,2.5   ,356   ,24.1  ,85   ,0.000   ,0.005   ,0.008   ,0.46    ,10      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0600,2.2   ,22    ,23.8  ,87   ,0.001   ,0.006   ,0.007   ,0.49    ,9       ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0700,2.5   ,27    ,23.7  ,88   ,0.001   ,0.006   ,0.005   ,0.59    ,17      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0800,2.3   ,358   ,23.7  ,88   ,0.001   ,0.007   ,0.004   ,0.68    ,17      ,21    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,0900,2.2   ,324   ,24.0  ,87   ,0.001   ,0.007   ,0.004   ,0.71    ,19      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,1000,3.4   ,2     ,24.5  ,84   ,0.002   ,0.011   ,0.006   ,0.83    ,19      ,20    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,1100,4.6   ,21    ,25.6  ,78   ,0.000   ,0.007   ,0.010   ,0.74    ,13      ,19    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,1200,4.5   ,21    ,26.5  ,71   ,0.000   ,0.006   ,0.013   ,0.63    ,10      ,18    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,1300,3.4   ,10    ,27.6  ,67   ,0.000   ,0.009   ,0.016   ,0.66    ,10      ,18    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20130101,1400,4.3   ,352   ,29.2  ,60   ,0.001   ,0.007   ,0.023   ,0.56    ,12      ,23    
