,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0100,3.5   ,20    ,24.2  ,N/A  ,0.018   ,N/A     ,0.000   ,1.09    ,50      ,50    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0200,3.9   ,50    ,23.9  ,N/A  ,0.018   ,N/A     ,0.000   ,1.25    ,40      ,51    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0300,3.0   ,55    ,23.5  ,N/A  ,0.016   ,N/A     ,0.001   ,0.91    ,30      ,51    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0400,1.5   ,36    ,23.6  ,N/A  ,0.018   ,N/A     ,0.000   ,0.78    ,24      ,51    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0500,1.4   ,21    ,23.1  ,N/A  ,0.017   ,N/A     ,0.000   ,0.70    ,28      ,50    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0600,3.4   ,340   ,23.0  ,N/A  ,0.016   ,N/A     ,0.001   ,0.82    ,44      ,51    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0700,4.8   ,343   ,23.5  ,N/A  ,0.013   ,N/A     ,0.001   ,0.76    ,28      ,50    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0800,3.6   ,346   ,23.4  ,N/A  ,0.015   ,N/A     ,0.001   ,0.89    ,32      ,49    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,0900,3.1   ,2     ,24.6  ,N/A  ,0.014   ,N/A     ,0.001   ,0.93    ,22      ,47    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1000,4.6   ,41    ,28.8  ,N/A  ,0.015   ,N/A     ,0.004   ,0.59    ,25      ,46    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1100,5.2   ,61    ,27.8  ,N/A  ,0.013   ,N/A     ,0.009   ,0.26    ,21      ,44    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1200,4.9   ,12    ,29.2  ,N/A  ,0.014   ,N/A     ,0.015   ,CAL     ,16      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1300,4.9   ,49    ,31.1  ,N/A  ,CAL     ,N/A     ,0.016   ,0.37    ,14      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1400,5.8   ,152   ,32.1  ,N/A  ,0.015   ,N/A     ,0.020   ,0.11    ,11      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1500,8.3   ,311   ,32.5  ,N/A  ,0.015   ,N/A     ,CAL     ,0.30    ,26      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1600,8.8   ,270   ,31.1  ,N/A  ,0.015   ,N/A     ,0.017   ,0.70    ,27      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1700,10.3  ,291   ,30.3  ,N/A  ,0.018   ,N/A     ,0.014   ,0.49    ,29      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1800,9.4   ,183   ,26.8  ,N/A  ,0.016   ,N/A     ,0.010   ,0.48    ,25      ,39    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,1900,7.5   ,100   ,24.6  ,N/A  ,0.027   ,N/A     ,0.005   ,0.76    ,26      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,2000,2.0   ,75    ,23.6  ,N/A  ,0.016   ,N/A     ,0.001   ,1.04    ,20      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,2100,1.6   ,12    ,23.9  ,N/A  ,0.017   ,N/A     ,0.000   ,1.54    ,41      ,41    
,CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20000101,2200,2.7   ,49    ,24.1  ,N/A  ,0.017   ,N/A     ,0.000   ,1.36    ,26      ,41    
