Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0100,6.9   ,50    ,23.3  ,94   ,0.001   ,0.012   ,0.009   ,0.55    ,18      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0200,5.6   ,31    ,23.3  ,94   ,0.000   ,0.014   ,0.007   ,0.56    ,54      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0300,4.8   ,351   ,23.2  ,95   ,0.001   ,0.010   ,0.008   ,0.50    ,36      ,57    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0400,4.4   ,356   ,23.2  ,94   ,0.002   ,0.009   ,0.008   ,0.45    ,38      ,57    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0500,3.9   ,353   ,23.1  ,94   ,0.004   ,0.008   ,0.008   ,0.42    ,41      ,56    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0600,4.3   ,8     ,23.0  ,94   ,0.003   ,0.007   ,0.008   ,0.43    ,19      ,55    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0700,4.9   ,18    ,22.9  ,94   ,0.001   ,0.010   ,0.005   ,0.47    ,56      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0800,5.2   ,43    ,22.9  ,94   ,0.001   ,0.011   ,0.004   ,0.64    ,40      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,0900,6.0   ,52    ,23.3  ,91   ,0.001   ,0.009   ,0.005   ,0.57    ,41      ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1000,6.4   ,68    ,24.7  ,82   ,0.003   ,0.008   ,0.009   ,0.48    ,35      ,48    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1100,7.8   ,39    ,26.6  ,78   ,0.002   ,0.007   ,0.014   ,0.48    ,38      ,47    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1200,8.1   ,42    ,28.4  ,72   ,CAL     ,0.006   ,0.020   ,0.43    ,35      ,46    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1300,8.3   ,36    ,29.3  ,69   ,0.007   ,0.005   ,0.024   ,CAL     ,30      ,44    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1400,8.2   ,13    ,30.3  ,67   ,0.002   ,0.003   ,0.030   ,0.40    ,26      ,42    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1500,6.9   ,3     ,30.5  ,63   ,0.002   ,0.003   ,0.030   ,0.34    ,5       ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1600,6.8   ,311   ,30.0  ,66   ,0.029   ,0.008   ,0.036   ,0.39    ,69      ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1700,9.0   ,321   ,29.8  ,68   ,0.019   ,CAL     ,0.035   ,0.37    ,52      ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1800,8.5   ,320   ,29.4  ,73   ,0.017   ,0.006   ,CAL     ,0.41    ,51      ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,1900,7.3   ,66    ,27.9  ,76   ,0.013   ,0.010   ,0.008   ,0.62    ,37      ,41    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,2000,3.4   ,116   ,26.8  ,83   ,0.020   ,0.015   ,0.002   ,1.05    ,44      ,40    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,2100,2.6   ,227   ,26.3  ,89   ,0.011   ,0.014   ,0.001   ,1.35    ,47      ,40    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,2200,3.0   ,136   ,26.4  ,89   ,0.011   ,0.014   ,0.001   ,1.78    ,72      ,42    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,2300,2.0   ,140   ,26.3  ,88   ,0.017   ,0.014   ,0.001   ,2.03    ,76      ,42    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030101,2400,2.9   ,29    ,26.3  ,87   ,0.011   ,0.013   ,0.001   ,2.04    ,54      ,42    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0100,4.1   ,11    ,26.3  ,85   ,0.003   ,0.010   ,0.001   ,0.97    ,68      ,44    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0200,2.8   ,10    ,25.8  ,88   ,0.002   ,0.009   ,0.001   ,0.67    ,44      ,44    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0300,1.7   ,68    ,25.4  ,91   ,0.006   ,0.009   ,0.001   ,0.77    ,55      ,45    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0400,3.2   ,168   ,25.2  ,92   ,0.012   ,0.012   ,0.001   ,1.04    ,80      ,47    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0500,2.6   ,156   ,25.5  ,91   ,0.012   ,0.011   ,0.002   ,0.66    ,60      ,47    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0600,4.0   ,37    ,25.0  ,93   ,0.006   ,0.011   ,0.001   ,0.82    ,57      ,49    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0700,3.8   ,48    ,24.9  ,94   ,0.005   ,0.010   ,0.001   ,0.93    ,50      ,49    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0800,3.5   ,30    ,24.8  ,93   ,0.005   ,0.011   ,0.002   ,1.39    ,64      ,50    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,0900,3.7   ,38    ,26.2  ,86   ,0.009   ,0.018   ,0.002   ,2.46    ,101     ,51    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1000,4.3   ,17    ,28.2  ,77   ,0.011   ,0.019   ,0.008   ,1.18    ,70      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1100,6.2   ,21    ,29.5  ,70   ,CAL     ,0.012   ,0.017   ,0.67    ,59      ,52    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1200,5.0   ,357   ,29.7  ,69   ,0.013   ,0.012   ,0.030   ,CAL     ,71      ,53    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1300,6.4   ,226   ,31.5  ,61   ,0.023   ,0.016   ,0.046   ,0.67    ,79      ,54    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1400,8.8   ,204   ,31.0  ,63   ,0.021   ,0.018   ,0.043   ,0.58    ,81      ,55    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1500,9.0   ,191   ,30.0  ,69   ,0.038   ,0.019   ,0.025   ,0.59    ,75      ,57    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1600,7.7   ,159   ,29.7  ,71   ,0.066   ,CAL     ,0.022   ,0.74    ,96      ,57    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1700,5.4   ,139   ,29.4  ,73   ,0.069   ,0.030   ,CAL     ,0.86    ,116     ,58    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1800,10.6  ,31    ,27.7  ,77   ,0.011   ,0.021   ,0.015   ,0.89    ,70      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,1900,7.7   ,65    ,26.1  ,80   ,0.004   ,0.016   ,0.007   ,0.78    ,54      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,2000,6.4   ,32    ,25.1  ,86   ,0.003   ,0.016   ,0.005   ,0.79    ,25      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,2100,3.8   ,13    ,24.9  ,88   ,0.005   ,0.017   ,0.003   ,0.82    ,69      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,2200,5.0   ,21    ,25.1  ,87   ,0.003   ,0.018   ,0.002   ,0.96    ,50      ,59    
CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20030102,2300,4.7   ,27    ,25.0  ,88   ,0.002   ,0.017   ,0.001   ,0.92    ,56      ,58    
